class,rank,status,country,team,total_time_seconds,leg1_name,leg1_time_seconds,leg2_name,leg2_time_seconds,leg3_name,leg3_time_seconds,confidence,source_file
W16,1,OK,CZE,Czech Republic,4776,Tereza Cechova,1659,Tereza Janosikova,1444,Barbora Vyhnalkova,1673,approx,2014/results-relay.pdf
W16,2,OK,RUS,Russia,5066,Anna Chestova,1655,Anastasia Tsybulnik,1689,Anastasia Godunova,1722,approx,2014/results-relay.pdf
W16,3,OK,HUN,Hungary,5208,Reka Pataki,1948,Vanda Vekony,1711,Hanga Szuromi,1549,approx,2014/results-relay.pdf
W16,4,OK,SUI,Switzerland,5220,Elena Pezzati,2070,Nora Caprari,1615,Simona Aebersold,1535,approx,2014/results-relay.pdf
W16,5,OK,FRA,France,5994,Marie Vuitton,1739,Juliette Basset,1873,Florence Hanauer,2382,approx,2014/results-relay.pdf
W16,6,OK,LTU,Lithuania,6305,Deimante Motiejunaite,2228,Karolina Sakalauskaite,2185,Agne Juodagalvyte,1892,approx,2014/results-relay.pdf
W16,7,OK,AUT,Austria,6416,Antonia Erhart,2336,Rosa Trummer,2430,Jasmina Gassner,1650,approx,2014/results-relay.pdf
W16,8,OK,BUL,Bulgaria,6447,Patricia Cenkova,1950,Tsveta Ilieva,2702,Andreya Dyaksova,1795,approx,2014/results-relay.pdf
W16,9,OK,DEN,Denmark,6524,Camilla Larsen,2312,Ida Oebro,2460,Agnes Nrrglrd Kracht,1752,approx,2014/results-relay.pdf
W16,10,OK,ROU,Romania,6534,Daiana Maria Habina,2110,Adela Galateanu,2543,Agnes Neda,1881,approx,2014/results-relay.pdf
W16,,OK,LAT,Latvia,7044,Elvita Alksne,1969,Sintija Ozola,2680,Vilma Alberinga,2395,approx,2014/results-relay.pdf
W16,11,OK,ESP,Spain,7095,Maria Prieto del Campo,1948,Marina Cornejo Garcia,2367,Maria Soriano Ramal,2780,approx,2014/results-relay.pdf
W16,,OK,UKR,Ukraine,7312,Polina Kotliar,2594,Goenko Maria,2245,Anzhela Tkachenko,2473,approx,2014/results-relay.pdf
W16,12,OK,EST,Estonia,8149,Emily Raudkepp,3268,Kristin Viikmaa,1955,Marie Anna Blehner,2926,approx,2014/results-relay.pdf
W16,13,OK,TUR,Turkey,8687,Gokce Avci,2321,Humeyra Altinisik,,Zeynep Ocak,3031,approx,2014/results-relay.pdf
W16,14,OK,SLO,Slovenia,9060,Monika Ravnikar,2363,Brina Foski,3276,Marjeta Lipuzic,3421,approx,2014/results-relay.pdf
W16,15,OK,ISR,Israel,9208,Noam Yasur,3011,Aya Webman,3374,Dalit Mansoor,2823,approx,2014/results-relay.pdf
W16,16,OK,SRB,Serbia,9872,Tija Radovanovic,2922,Olga Stanojevic,2800,Jovana Grozdanic,4150,approx,2014/results-relay.pdf
W16,,MP,GER,Germany,,Paula Muhlstein,,Mareike Seeger,1837,Birte Friedrichs,1640,approx,2014/results-relay.pdf
W16,,MP,MKD,Macedonia,,Eleonora Krzheska,,Stefanija Krzheska,,Ivana Trajkoska,,approx,2014/results-relay.pdf
W16,,DNF,BEL,Belgium,,Hannah Thiels,2241,Magalie Gillet,,Nun.,,approx,2014/results-relay.pdf
M16,1,OK,FIN,Finland,5758,Teemu Eerola,1873,Aaro Julkunen,2172,Tuomas Heikkila,1713,approx,2014/results-relay.pdf
M16,2,OK,SUI,Switzerland,5910,Timo Suter,2130,Nicola Banfi,1826,Andrin Grundler,1954,approx,2014/results-relay.pdf
M16,3,OK,CZE,Czech Republic,6304,Vojtech Sykora,1865,Otakar Hirs,2176,Daniel Vandas,2263,approx,2014/results-relay.pdf
