class,rank,status,country,team,total_time_seconds,leg1_name,leg1_time_seconds,leg2_name,leg2_time_seconds,leg3_name,leg3_time_seconds,confidence,source_file
W16,1,OK,CZE,Team CZE 1,4683,Adéla Jakobová,1516,Vera Müllerová,1661,Michaela Chmelarová,1506,high,2006/2006_relay_w16.txt
W16,2,OK,RUS,Team RUS 67,4808,Anastasia Trubkina,1722,Natalia Kozlova,1635,Karina Fershalova,1451,high,2006/2006_relay_w16.txt
W16,3,OK,SUI,Team SUI 79,5126,Ladina Matter,1448,Sarina Jenzer,2136,Isabelle Feer,1542,high,2006/2006_relay_w16.txt
W16,4,OK,HUN,Team HUN 40,5131,Regina Bertóti,1729,Vanda Zsigmond,1914,Ilona Tibay,1488,high,2006/2006_relay_w16.txt
W16,5,OK,GER,Team GER 92,5346,Josephine Greiner,1585,Lucca Blumenstein,1777,Maria Lange,1984,high,2006/2006_relay_w16.txt
W16,6,OK,POL,Team POL 55,5358,Magdalena Helminiak,1813,Hanna Wisniewska,1868,Monika Gajda,1677,high,2006/2006_relay_w16.txt
W16,7,OK,FRA,Team FRA 31,5554,Perrine Obstetar,1555,Alizée Gaillard,1972,Magalie Cordeiro-Mendes,2027,high,2006/2006_relay_w16.txt
W16,8,OK,EST,Team EST 27,5586,Hannula-Katrin Pandis,2169,Triin Aedmäe,1760,Adele Puusalu,1657,high,2006/2006_relay_w16.txt
W16,9,OK,AUT,Team AUT 3,5591,Clarissa Kradischnig,1736,Anna Elstner,2280,Ulla Mayrhofer,1575,high,2006/2006_relay_w16.txt
W16,10,OK,LAT,Team LAT 46,5969,Ieva Brice,2227,Anna Purina,2051,Ilze Cahrausa,1691,high,2006/2006_relay_w16.txt
W16,11,OK,LTU,Team LTU 95,6020,Ausrine Kutkaite,2482,Egle Dambrauskaite,1996,Tekle Emilija Gvildyte,1542,high,2006/2006_relay_w16.txt
W16,12,OK,UKR,Team UKR 89,6633,Kateryna Nesterenko,2306,Olga Popko,2173,Maryna Palashevska,2154,high,2006/2006_relay_w16.txt
W16,13,OK,ITA,Team ITA 44,6786,Carlotta Scalet,3140,Claudia Zanetel,1711,Lucia Curzio,1935,high,2006/2006_relay_w16.txt
W16,14,OK,BUL,Team BUL 11,7320,Valeriya Staneva,3146,Iva Agova,2401,Katya Stoyanova,1773,high,2006/2006_relay_w16.txt
W16,15,OK,POR,Team POR 59,7324,Joana Costa,2589,Isabel Sa,2539,Mariana Moreira,2195,high,2006/2006_relay_w16.txt
W16,17,OK,CRO,Team CRO 91,11254,Marija Stambuk,4842,Ana Muzak,3476,Iva Stambuk,2939,high,2006/2006_relay_w16.txt
W16,18,OK,SLO,Team SLO 75,11304,Ana Jesenko,3154,Ursa Tomazin,5297,Anja Jenko,2853,high,2006/2006_relay_w16.txt
W18,1,OK,NOR,Team NOR 52,5715,Inger Liv Bjerkreim Nilsen,2105,Siri Ulvestad,1734,Ida Marie N Bjørgul,1876,high,2006/2006_relay_w18.txt
W18,2,OK,HUN,Team HUN 41,5987,Dorottya Péley,2112,Diána Koós,2063,Eszter Öry,1812,high,2006/2006_relay_w18.txt
W18,3,OK,CZE,Team CZE 1,6055,Tereza Petrželová,1906,Vera Mádlová,1809,Michaela Procházková,2340,high,2006/2006_relay_w18.txt
W18,4,OK,FRA,Team FRA 32,6066,Marine Leloup,1865,Léa Molinier,2326,Léa Vercellotti,1875,high,2006/2006_relay_w18.txt
W18,5,OK,RUS,Team RUS 68,6289,Tatiana Rozova,2363,Nina Oleynichenkova,2158,Tatiana Mendel,1768,high,2006/2006_relay_w18.txt
W18,6,OK,EST,Team EST 28,6491,Ly Trei,2201,Eleri Hirv,1962,Grete Gutmann,2328,high,2006/2006_relay_w18.txt
W18,7,OK,ESP,Team ESP 24,6519,Alicia Gil,2162,Anna Serrallonga,2517,Ona Rafols,1840,high,2006/2006_relay_w18.txt
