class,rank,status,bib,country,name,time_seconds,confidence,source_file
W16,1,OK,,RUS,Karina Fershalova,2061,high,2006/eyoc2006.htm
W16,2,OK,,HUN,Ilona Tibay,2265,high,2006/eyoc2006.htm
W16,3,OK,,CZE,Adelka Jakobova,2266,high,2006/eyoc2006.htm
W16,4,OK,,RUS,Anastasia Trubkina,2268,high,2006/eyoc2006.htm
W16,5,OK,,LTU,Tekle Emilija Gvildyte,2306,high,2006/eyoc2006.htm
W16,6,OK,,RUS,Natalia Kozlova,2339,high,2006/eyoc2006.htm
W16,7,OK,,EST,Hannula Katrin Pandis,2387,high,2006/eyoc2006.htm
W16,8,OK,,CZE,Vera Mullerova,2435,high,2006/eyoc2006.htm
W16,9,OK,,CZE,Michaela Chmelarova,2445,high,2006/eyoc2006.htm
W16,10,OK,,AUT,Anna Elstner,2463,high,2006/eyoc2006.htm
W16,11,OK,,RUS,Alisa Nizhnikova,2473,high,2006/eyoc2006.htm
W16,12,OK,,FRA,Perrine Obstetar,2568,high,2006/eyoc2006.htm
W16,13,OK,,AUT,Ulla Mayrhofer,2574,high,2006/eyoc2006.htm
W16,14,OK,,LAT,Ilze Cahrausa,2574,high,2006/eyoc2006.htm
W16,15,OK,,HUN,Regina Bertoti,2596,high,2006/eyoc2006.htm
W16,16,OK,,CZE,Lucie Meznikova,2600,high,2006/eyoc2006.htm
W16,17,OK,,GER,Lucca Blumenstein,2638,high,2006/eyoc2006.htm
W16,18,OK,,BUL,Katya Stoyanova,2691,high,2006/eyoc2006.htm
W16,19,OK,,BUL,Iva Agova,2702,high,2006/eyoc2006.htm
W16,20,OK,,POL,Monika Gajda,2722,high,2006/eyoc2006.htm
W16,21,OK,,HUN,Vanda Zsigmond,2729,high,2006/eyoc2006.htm
W16,22,OK,,GER,Maria Lange,2759,high,2006/eyoc2006.htm
W16,23,OK,,SUI,Sarina Jenzer,2838,high,2006/eyoc2006.htm
W16,24,OK,,LTU,Egle Dambrauskaite,2911,high,2006/eyoc2006.htm
W16,25,OK,,ROU,Adina Popescu,2914,high,2006/eyoc2006.htm
W16,26,OK,,SLO,Ana Jesenko,2961,high,2006/eyoc2006.htm
W16,27,OK,,SUI,Elena Roos,3019,high,2006/eyoc2006.htm
W16,28,OK,,SVK,Eva Farkasova,3041,high,2006/eyoc2006.htm
W16,29,OK,,POL,Magdalena Helminiak,3058,high,2006/eyoc2006.htm
W16,30,OK,,SUI,Ladina Matter,3067,high,2006/eyoc2006.htm
W16,31,OK,,SUI,Isabelle Feer,3153,high,2006/eyoc2006.htm
W16,32,OK,,POL,Hanna Wisniewska,3169,high,2006/eyoc2006.htm
W16,33,OK,,LAT,Ieva Brice,3171,high,2006/eyoc2006.htm
W16,34,OK,,UKR,Olga Popko,3196,high,2006/eyoc2006.htm
W16,35,OK,,EST,Adele Puusalu,3208,high,2006/eyoc2006.htm
W16,36,OK,,POR,Mariana Moreira,3240,high,2006/eyoc2006.htm
W16,37,OK,,HUN,Brigitta Koos,3291,high,2006/eyoc2006.htm
W16,38,OK,,LAT,Ieva Ruksane,3313,high,2006/eyoc2006.htm
W16,39,OK,,FRA,Alizee Gaillard,3327,high,2006/eyoc2006.htm
W16,40,OK,,AUT,Clarissa Kradischnig,3463,high,2006/eyoc2006.htm
W16,41,OK,,UKR,Maryna Palashevska,3534,high,2006/eyoc2006.htm
W16,42,OK,,LTU,Ausrine Kutkaite,3586,high,2006/eyoc2006.htm
W16,43,OK,,GER,Josephine Greiner,3741,high,2006/eyoc2006.htm
W16,44,OK,,CRO,Iva Stambuk,3749,high,2006/eyoc2006.htm
W16,45,OK,,UKR,Olena Pitirimova,3797,high,2006/eyoc2006.htm
W16,46,OK,,SLO,Barbara Pogacar,3807,high,2006/eyoc2006.htm
W16,47,OK,,LAT,Anna Purina,3817,high,2006/eyoc2006.htm
W16,48,OK,,SRB,Lidija Radulovic,3832,high,2006/eyoc2006.htm
W16,49,OK,,UKR,Kateryna Nesterenko,3879,high,2006/eyoc2006.htm
