class,rank,status,country,team,total_time_seconds,leg1_name,leg1_time_seconds,leg2_name,leg2_time_seconds,leg3_name,leg3_time_seconds,confidence,source_file
W16,1,OK,RUS,Russia,5381,Tatiana Rozova,1828,Nina Oleynichenkova,1733,Tatiana Mendel,1820,high,2004/eyoc2004.htm
W16,2,OK,CZE,Czechia,5539,Simona Karochova,1826,Lucie Machutova,1689,Jana Vaculikova,2024,high,2004/eyoc2004.htm
W16,3,OK,HUN,Hungary,5550,Dora Szerencsi,1964,Eszter Ory,1759,Dorottya Peley,1827,high,2004/eyoc2004.htm
W16,4,OK,SUI,Switzerland,5881,Dorothea Suter,2220,Judith Wyder,1908,Rachel Engeler,1753,high,2004/eyoc2004.htm
W16,5,OK,AUT,Austria,6068,Ursula Kadan,1954,Anna Zugner,2148,Stephanie Killmann,1966,high,2004/eyoc2004.htm
W16,6,OK,ROU,Romania,6103,Monica Auer,1951,Ioana Zah-Git,1948,Adina Popescu,2204,high,2004/eyoc2004.htm
W16,7,OK,UKR,Ukraine,6122,Olha Hrynko,2115,Nataliya Novikova,1974,Oleksandra Parkhomenko,2033,high,2004/eyoc2004.htm
W16,8,OK,LAT,Latvia,6264,Rasa Bruna,2105,Anna Bralite,2000,Krista Mihailova,2159,high,2004/eyoc2004.htm
W16,9,OK,POL,Poland,6386,Magdalena Lesniak,2053,Lucyna Drewniowska,2459,Natalia Najman,1874,high,2004/eyoc2004.htm
W16,10,OK,ESP,Spain,6389,Ona Rafols Perramon,2141,Luisa Rico Mira,2043,Alicia Gil Sanchez,2205,high,2004/eyoc2004.htm
W16,11,OK,FRA,France,6478,Marine Leloup,1969,Gaelle Barlet,2233,Cecile Papillon,2276,high,2004/eyoc2004.htm
W16,12,OK,GER,Germany,6636,Esther Doetsch,1960,Susann Jahn,2446,Sandra Juras,2230,high,2004/eyoc2004.htm
W16,13,OK,SVK,Slovakia,6776,Dominika Bednarova,2260,Ivana Korimova,2661,Jana Krsiakova,1855,high,2004/eyoc2004.htm
W16,14,OK,EST,Estonia,6916,Ly Trei,1980,Eleri Hirv,2780,Grete Gutmann,2156,high,2004/eyoc2004.htm
W16,15,OK,BUL,Bulgaria,7084,Zhanet Bochukova,2459,Simona Danailova,2305,Ivanka Lazarova,2320,high,2004/eyoc2004.htm
W16,16,OK,BLR,Belarus,7917,Katsiaryna Prakharenka,2463,Alena Pechur,2166,Katsiaryna Valiuk,3288,high,2004/eyoc2004.htm
W16,17,OK,SRB,Serbia,10136,Vedrana Radosavljevic,3099,Marta Zdravkovic,3035,Nada Zdravkovic,4002,high,2004/eyoc2004.htm
W16,,MP,LTU,Lithuania,,Ausra Miksyte,1968,Ugne Vasyliute,1935,Gabija Razaityte,,high,2004/eyoc2004.htm
W16,,DNF,ITA,Italy,,Marija Pruss,2353,Nicole Scalet,1968,Jutta Torggler,,high,2004/eyoc2004.htm
W18,1,OK,POL,Poland,6767,Agnieszka Grzelak,2301,Weronika Machowska,2253,Iwona Wicha,2213,high,2004/eyoc2004.htm
W18,2,OK,CZE,Czechia,6921,Lucie Krafkova,2247,Zuzana Hermanova,2447,Iveta Duchova,2227,high,2004/eyoc2004.htm
W18,3,OK,LTU,Lithuania,6972,Kristina Rybakovaite,2321,Skaiste Sidaraviciute,2398,Jurate Rukaite,2253,high,2004/eyoc2004.htm
W18,4,OK,UKR,Ukraine,7110,Olha Sluta,2449,Olena Struhalova,2497,Maryana Kytsman,2164,high,2004/eyoc2004.htm
W18,5,OK,RUS,Russia,7120,Valentina Salova,2295,Zlata Borina,2592,Ekaterina Terekhova,2233,high,2004/eyoc2004.htm
W18,6,OK,FRA,France,7296,Anais Goffre,2437,Melanie D'Harreville,2414,Charlotte Bouchet,2445,high,2004/eyoc2004.htm
W18,7,OK,LAT,Latvia,7483,Janeta Turka,2401,Inga Priedite,2441,Sanita Sokolova,2641,high,2004/eyoc2004.htm
W18,8,OK,GER,Germany,7658,Rebecca Reischuk,2306,Jenny Seib,2623,Angela Hoke,2729,high,2004/eyoc2004.htm
