class,rank,status,country,team,total_time_seconds,leg1_name,leg1_time_seconds,leg2_name,leg2_time_seconds,leg3_name,leg3_time_seconds,confidence,source_file
M16,1,OK,HUN,Hungary Hungary 1,6274,Bela Barnabas Sugta,2101,Mark Bujdoso,2183,Mihaly Csoboth,1990,high,2024/RESULTS-RELAY-WITH-MIX.pdf
M16,2,OK,CZE,Czechia Czechia 1,6328,Tomas Metelka,2295,Ondrej Stepanek,1993,Erik Heczko,2040,high,2024/RESULTS-RELAY-WITH-MIX.pdf
M16,3,OK,POL,Poland Poland 1,6404,Antoni Trzeciak,2295,Antoni Pachnik,2062,Tomasz Rzenca,2047,high,2024/RESULTS-RELAY-WITH-MIX.pdf
M16,4,OK,SUI,Switzerland Switzerland 1,6637,Julian Schmied,2098,Taavi Caboussat,2264,Manuel Gasser,2275,high,2024/RESULTS-RELAY-WITH-MIX.pdf
M16,5,OK,DEN,Denmark Denmark 1,6649,Emil Fredberg,2099,Mattias Rokkjaer,2274,Lukas Verhelst,2276,high,2024/RESULTS-RELAY-WITH-MIX.pdf
M16,6,OK,FIN,Finland Finland 1,6813,Veeti Viippola,2146,Eetu Narhi,2214,Topi Hyytiainen,2453,high,2024/RESULTS-RELAY-WITH-MIX.pdf
M16,7,OK,FRA,France France 1,6920,Mae Regnard,2294,Titouan Andrieux,2267,Simon Calandry,2359,high,2024/RESULTS-RELAY-WITH-MIX.pdf
M16,8,OK,ROU,Romania Romania 1,7026,Radu Ilin,2350,Simon Benjamin,2619,Vlad Percec,2057,high,2024/RESULTS-RELAY-WITH-MIX.pdf
M16,9,OK,LAT,Latvia Latvia 1,7247,Gustavs Locmelis,2214,Ralfs Praulins,2667,Lars Anders Luiks,2366,high,2024/RESULTS-RELAY-WITH-MIX.pdf
M16,10,OK,GER,Germany Germany 1,7248,Lionel Kumbier,2835,Daniel Schmidt,2196,Julian Doetsch,2217,high,2024/RESULTS-RELAY-WITH-MIX.pdf
M16,11,OK,LTU,Lithuania Lithuania 1,7253,Arvidas Gunnarsson,2294,Gintas Simonavicius,2714,Tijus Jokubauskis,2245,high,2024/RESULTS-RELAY-WITH-MIX.pdf
M16,12,OK,EST,Estonia Estonia 1,7434,Villem Piirimae,2307,Kardo Kutti,2665,Erik Marten Zernant,2462,high,2024/RESULTS-RELAY-WITH-MIX.pdf
M16,13,OK,GBR,Great Britain Great Britain 1,7549,Finlay McLuckie,2653,Marcus Perry,2389,Finn Selmer Duguid,2507,high,2024/RESULTS-RELAY-WITH-MIX.pdf
M16,14,OK,UKR,Ukraine Ukraine 1,7571,Vladyslav Zhukovskyi,2248,Ihor Kyrylyshyn,2717,Oleksandr Fedorovskiy,2606,high,2024/RESULTS-RELAY-WITH-MIX.pdf
M16,15,OK,BEL,Belgium Belgium 1,7845,Victor Brouwier,2300,Thomas Jansen,2470,Pjotr Mertens,3075,high,2024/RESULTS-RELAY-WITH-MIX.pdf
M16,16,OK,ITA,Italy Italy 1,8005,Alessandro Moser,2884,Marco Gianelle,2466,Niklas Weitlaner,2655,high,2024/RESULTS-RELAY-WITH-MIX.pdf
M16,17,OK,ISR,Israel Israel 1,8432,Yuval Kalkstein,2413,Ronen Shuv,3097,Pavel Kalnitski,2922,high,2024/RESULTS-RELAY-WITH-MIX.pdf
M16,18,OK,IRL,Ireland Ireland 1,8566,Aidan McKenna,2372,Liam Casey,2980,Liam O Donnell,3214,high,2024/RESULTS-RELAY-WITH-MIX.pdf
M16,19,OK,SVK,Slovakia Slovakia 1,8567,Jan Dokupil,2599,Samuel Michac,3057,Michal Marko,2911,high,2024/RESULTS-RELAY-WITH-MIX.pdf
M16,20,OK,ESP,Spain Spain 1,8709,Mateo Puertas,3143,Cesc Amat Font,2479,Ekain Fernandez Garcia,3087,high,2024/RESULTS-RELAY-WITH-MIX.pdf
M16,21,OK,AUT,Austria Austria 1,8919,Lauri Urbanek,2593,Tobias Angermann,3053,Oliver Schnepf,3273,high,2024/RESULTS-RELAY-WITH-MIX.pdf
M16,23,OK,TUR,Turkiye Turkiye 1,9364,Kuzey Basol,2920,Mustafa Bilge,3642,Poyraz Vural,2802,high,2024/RESULTS-RELAY-WITH-MIX.pdf
M16,24,OK,BUL,Bulgaria Bulgaria 1,9806,Svetlozar Kolev,2143,Aleks Sarhachev,3066,Victor Ivanov,4597,high,2024/RESULTS-RELAY-WITH-MIX.pdf
