status,country,from_name,to_name,reason,score,occurrences,sample_files,,
approve,EST,Madli-Johanna Maidla,Madli Johanna Maidla,iof-exact,exact,4,"2010/relay.csv, 2012/long.csv, 2012/relay.csv, 2012/sprint.csv",,
approve,EST,Uku-Laur Tali,Uku Laur Tali,iof-exact,exact,1,2010/relay.csv,,
approve,FIN,Anni Makihokkonen,Anni MakiHokkonen,iof-exact,exact,6,"2024/long.csv, 2024/relay.csv, 2024/sprint.csv, 2025/long.csv",,
approve,FIN,Karolina Ukskoski,Karoliina Ukskoski,iof-exact,exact,1,2014/relay.csv,,
approve,FIN,Leenukk Hanhijarvi,Leenukka Hanhijarvi,iof-exact,exact,1,2016/relay.csv,,
approve,FRA,Elias Guilhem,Guilhem Elias,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,FRA,Emilie Backsheider,Emilie Backscheider,iof-exact,exact,3,"2010/long.csv, 2010/relay.csv, 2010/sprint.csv",,
approve,FRA,Lataste Lucie,Lucie Lataste,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,FRA,Lesquer Romane,Romane Lesquer,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,FRA,Lodc Marty,Loic Marty,iof-exact,exact,3,"2012/long.csv, 2012/relay.csv, 2012/sprint.csv",,
approve,FRA,Palcau Alina,Alina Palcau,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,FRA,Vergnaud Alexandre,Alexandre Vergnaud,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,FRA,Vuitton Julien,Julien Vuitton,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,FRA,Andrieux Quentin,Quentin Andrieux,iof-exact,exact,2,"2017/long.csv, 2017/relay.csv",,
approve,FRA,Haberkorn Guilhem,Guilhem Haberkorn,iof-exact,exact,2,"2017/long.csv, 2017/sprint.csv",,
approve,FRA,Lodc Capbern,Loic Capbern,iof-exact,exact,2,"2010/long.csv, 2010/sprint.csv",,
approve,FRA,Juliete Basset,Juliette Basset,iof-exact,exact,1,2014/relay.csv,,
approve,GBR,Jonathon Crickmore,Jonathan Crickmore,iof-exact,exact,3,"2008/long.csv, 2008/relay.csv, 2008/sprint.csv",,
approve,GBR,Joe Woodtey,Joe Woodley,iof-exact,exact,1,2014/relay.csv,,
approve,GBR,Jonathan Crikmore,Jonathan Crickmore,iof-exact,exact,1,2010/relay.csv,,
approve,HUN,Bujdoso Zoltan,Zoltan Bujdoso,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,HUN,Czako Boglarka,Boglarka Czako,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,HUN,Gardonyi Csilla,Csilla Gardonyi,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,HUN,Horvath Csongor,Csongor Horvath,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,HUN,Istvan Zsebehazi,Istvan Zsebehazy,iof-exact,exact,3,"2002/long.csv, 2002/relay.csv, 2002/sprint.csv",,
approve,HUN,Jonas Ferenc,Ferenc Jonas,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,HUN,Ormay Mihaly,Mihaly Ormay,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,HUN,Szabo Marcell,Marcell Szabo,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,HUN,Szuromi Hanga,Hanga Szuromi,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,HUN,Mero Dominika,Dominika Mero,iof-exact,exact,2,"2017/long.csv, 2017/sprint.csv",,
approve,HUN,Ildiko Szerenczi,Ildiko Szerencsi,iof-exact,exact,1,2003/relay.csv,,
