class,rank,status,bib,country,name,time_seconds,confidence,source_file
M16,1,OK,1006,FIN,Aapo Virkajarvi,2818,high,2023/Long-eventor.xml
M16,2,OK,1055,ESP,Aratz Beobide,3030,high,2023/Long-eventor.xml
M16,3,OK,1057,CZE,Erik Heczko,3041,high,2023/Long-eventor.xml
M16,4,OK,1088,FRA,Lucas Verjux,3046,high,2023/Long-eventor.xml
M16,5,OK,1083,FIN,Rasmus Toyryla,3058,high,2023/Long-eventor.xml
M16,6,OK,1078,HUN,Mihaly Csoboth,3087,high,2023/Long-eventor.xml
M16,7,OK,1012,SUI,Nicolas Mohn,3099,high,2023/Long-eventor.xml
M16,8,OK,1030,CZE,Prokop Tomasek,3119,high,2023/Long-eventor.xml
M16,9,OK,1026,DEN,Asbjoern Faber Fenger Groen,3152,high,2023/Long-eventor.xml
M16,10,OK,1056,POL,Stanislaw Drapella,3190,high,2023/Long-eventor.xml
M16,11,OK,1044,FIN,Vaino Haara,3224,high,2023/Long-eventor.xml
M16,12,OK,1007,CZE,Vladimir Srb,3229,high,2023/Long-eventor.xml
M16,13,OK,1095,GBR,Tommy Rollins,3236,high,2023/Long-eventor.xml
M16,14,OK,1085,DEN,Niels Jokumsen,3254,high,2023/Long-eventor.xml
M16,15,OK,1048,FIN,Atte Kavonius,3266,high,2023/Long-eventor.xml
M16,16,OK,1064,FRA,Simon Calandry,3283,high,2023/Long-eventor.xml
M16,17,OK,1065,SUI,Andri Gujan,3304,high,2023/Long-eventor.xml
M16,18,OK,1045,HUN,Gergely Bonifert,3340,high,2023/Long-eventor.xml
M16,19,OK,1049,DEN,Axel Oernhagen Joergensen,3395,high,2023/Long-eventor.xml
M16,20,OK,1058,HUN,Mark Levente Bujdoso,3439,high,2023/Long-eventor.xml
M16,21,OK,1060,LAT,Renars Grasis,3443,high,2023/Long-eventor.xml
M16,22,OK,1050,GER,Lennart Muehlstaedt,3449,high,2023/Long-eventor.xml
M16,23,OK,1031,SUI,Andrin Meier,3457,high,2023/Long-eventor.xml
M16,24,OK,1094,LAT,Lukass Silins,3460,high,2023/Long-eventor.xml
M16,25,OK,1042,SVK,Daniel Smelik,3509,high,2023/Long-eventor.xml
M16,26,OK,1070,BUL,Svetlozar Kolev,3512,high,2023/Long-eventor.xml
M16,27,OK,1089,ESP,Joan Montes,3532,high,2023/Long-eventor.xml
M16,28,OK,1080,UKR,Oleksii Shyp,3547,high,2023/Long-eventor.xml
M16,29,OK,1084,EST,Partel Kulvik,3582,high,2023/Long-eventor.xml
M16,30,OK,1059,BEL,Regis Vanschuytbroeck,3596,high,2023/Long-eventor.xml
M16,31,OK,1033,BUL,Dani Nikolov,3621,high,2023/Long-eventor.xml
M16,32,OK,1074,SVK,Michal Dolny,3641,high,2023/Long-eventor.xml
M16,33,OK,1002,LAT,Rudolfs Graudins,3645,high,2023/Long-eventor.xml
M16,34,OK,1097,AUT,Niklas Ochenbauer,3655,high,2023/Long-eventor.xml
M16,35,OK,1054,GBR,Robert Finn Selmer Duguid,3661,high,2023/Long-eventor.xml
M16,36,OK,1011,ESP,Joan Mendez Santamaria,3681,high,2023/Long-eventor.xml
M16,37,OK,1029,UKR,Artem Zhukovskyi,3694,high,2023/Long-eventor.xml
M16,38,OK,1071,UKR,Volodymyr Horashko,3732,high,2023/Long-eventor.xml
M16,39,OK,1037,POL,Filip Wodzicki,3738,high,2023/Long-eventor.xml
M16,40,OK,1032,ESP,Cesc Amat Font,3743,high,2023/Long-eventor.xml
M16,41,OK,1068,EST,Karel Jung,3754,high,2023/Long-eventor.xml
M16,42,OK,1001,HUN,Bence Urge,3789,high,2023/Long-eventor.xml
M16,43,OK,1038,FRA,Quentin Auneau,3812,high,2023/Long-eventor.xml
M16,44,OK,1024,IRL,Gerry Browne,3840,high,2023/Long-eventor.xml
M16,45,OK,1039,SLO,Bozo Bizjak,3859,high,2023/Long-eventor.xml
M16,46,OK,1021,FRA,Remi Brochot,3866,high,2023/Long-eventor.xml
M16,47,OK,1046,EST,Villem Piirimae,3873,high,2023/Long-eventor.xml
M16,48,OK,1077,ROU,Radu Ilin,3874,high,2023/Long-eventor.xml
M16,49,OK,1091,SUI,Lavio Mueller,3976,high,2023/Long-eventor.xml
M16,50,OK,1098,SVK,Matej Balogh,3993,high,2023/Long-eventor.xml
M16,51,OK,1079,POL,Tomasz Rzenca,4001,high,2023/Long-eventor.xml
M16,52,OK,1066,ITA,Marco Gianelle,4032,high,2023/Long-eventor.xml
M16,53,OK,1041,GER,Niklas Wetzel,4035,high,2023/Long-eventor.xml
M16,54,OK,1023,LAT,Niklavs Dravants,4078,high,2023/Long-eventor.xml
M16,55,OK,1062,ISR,Shahar Yogev,4089,high,2023/Long-eventor.xml
M16,56,OK,1017,AUT,Maximilian Nindl,4242,high,2023/Long-eventor.xml
M16,57,OK,1092,POR,Lucas Coelho,4257,high,2023/Long-eventor.xml
M16,58,OK,1051,CRO,Teo Mahovic,4284,high,2023/Long-eventor.xml
M16,59,OK,1013,GBR,Laurence Ward,4289,high,2023/Long-eventor.xml
M16,60,OK,1043,CRO,Gabrijel Solenicki,4290,high,2023/Long-eventor.xml
M16,61,OK,1069,ROU,Vlad Percec,4298,high,2023/Long-eventor.xml
M16,62,OK,1076,TUR,Kuzey Ozkurt,4322,high,2023/Long-eventor.xml
M16,63,OK,1010,BUL,Atanas Stalev,4378,high,2023/Long-eventor.xml
M16,64,OK,1087,GER,Lionel Kumbier,4442,high,2023/Long-eventor.xml
M16,65,OK,1028,LTU,Deivis Tarulis,4465,high,2023/Long-eventor.xml
M16,66,OK,1072,SRB,David Husag,4476,high,2023/Long-eventor.xml
M16,66,OK,1015,CRO,Luka Gojmerac,4476,high,2023/Long-eventor.xml
M16,68,OK,1020,LTU,Vitas Subatkis,4482,high,2023/Long-eventor.xml
M16,69,OK,1081,BEL,Oscar Bourgeois,4538,high,2023/Long-eventor.xml
M16,70,OK,1067,LTU,Tijus Jokubauskis,4565,high,2023/Long-eventor.xml
M16,71,OK,1008,SLO,Rok Bogataj,4618,high,2023/Long-eventor.xml
M16,72,OK,1036,ISR,Yuval Kalkstein,4640,high,2023/Long-eventor.xml
M16,73,OK,1075,AUT,Oliver Schnepf,4694,high,2023/Long-eventor.xml
M16,74,OK,1018,ISR,Ronen Shuv,4717,high,2023/Long-eventor.xml
M16,75,OK,1093,BUL,Bogdan Evgeniev,4733,high,2023/Long-eventor.xml
M16,76,OK,1035,BEL,Bob de Cleene,4759,high,2023/Long-eventor.xml
M16,77,OK,1027,ROU,Benjamin Simon,4896,high,2023/Long-eventor.xml
M16,78,OK,1016,POR,Tiago Oliveira,4955,high,2023/Long-eventor.xml
M16,79,OK,1063,SLO,Jaka Seljak,5096,high,2023/Long-eventor.xml
M16,80,OK,1053,MDA,Stefan Gherciu,5130,high,2023/Long-eventor.xml
M16,81,OK,1047,GBR,Ben Perry,5136,high,2023/Long-eventor.xml
M16,82,OK,1003,POL,Antoni Trzeciak,5219,high,2023/Long-eventor.xml
M16,83,OK,1052,TUR,Kubilay Karatasli,5287,high,2023/Long-eventor.xml
M16,84,OK,1086,MDA,Artiom Babici,5577,high,2023/Long-eventor.xml
M16,85,OK,1014,DEN,Magnus Lindahl,5619,high,2023/Long-eventor.xml
M16,86,OK,1025,POR,Pedro Patrocinio,5714,high,2023/Long-eventor.xml
M16,87,OK,1022,GER,Moritz Kuntze,5810,high,2023/Long-eventor.xml
M16,88,OK,1009,SRB,David Petrovic,5814,high,2023/Long-eventor.xml
M16,89,OK,1090,IRL,James Hottinger,5826,high,2023/Long-eventor.xml
M16,90,OK,1061,POR,Joao Pedro,5965,high,2023/Long-eventor.xml
M16,91,OK,1004,TUR,Mert Yilmaz,6396,high,2023/Long-eventor.xml
M16,92,OK,1040,MDA,Ion Cebanu,6696,high,2023/Long-eventor.xml
M16,93,OK,1073,IRL,Liam Casey,9040,high,2023/Long-eventor.xml
M16,,MP,1096,LTU,Domas Juknevicius,3686,high,2023/Long-eventor.xml
M16,,MP,1082,CZE,Jan Vanicek,4422,high,2023/Long-eventor.xml
M16,,MP,1034,TUR,Gurhan Horasanli,7087,high,2023/Long-eventor.xml
W16,1,OK,2042,FRA,Fanny Delahaye,2913,high,2023/Long-eventor.xml
W16,2,OK,2012,SUI,Lotta Marit Luethi,3085,high,2023/Long-eventor.xml
W16,3,OK,2023,CZE,Hana Vitkova,3100,high,2023/Long-eventor.xml
W16,4,OK,2014,CZE,Tereza Paulickova,3131,high,2023/Long-eventor.xml
W16,5,OK,2018,FIN,Roosa Muukkonen,3203,high,2023/Long-eventor.xml
W16,6,OK,2003,POL,Antonina Slonska,3259,high,2023/Long-eventor.xml
W16,7,OK,2047,ITA,Silvia Di Stefano,3278,high,2023/Long-eventor.xml
W16,8,OK,2034,FIN,Iida Koskinen,3296,high,2023/Long-eventor.xml
W16,9,OK,2084,HUN,Zsofia Felfoldi,3299,high,2023/Long-eventor.xml
W16,10,OK,2065,SUI,Luisa Gartmann,3307,high,2023/Long-eventor.xml
W16,11,OK,2083,DEN,Frida Karner Grooss,3327,high,2023/Long-eventor.xml
W16,11,OK,2041,SUI,Nesa Schiller,3327,high,2023/Long-eventor.xml
W16,13,OK,2033,LTU,Margarita Dienyte,3408,high,2023/Long-eventor.xml
W16,14,OK,2074,SLO,Nea Erzen,3423,high,2023/Long-eventor.xml
W16,15,OK,2082,CZE,Marketa Hanusova,3448,high,2023/Long-eventor.xml
W16,16,OK,2010,LTU,Gabija Stankeviciute,3454,high,2023/Long-eventor.xml
W16,17,OK,2057,FRA,Sasha Flandrin,3471,high,2023/Long-eventor.xml
W16,18,OK,2029,ESP,Arlet Sales,3480,high,2023/Long-eventor.xml
W16,19,OK,2011,LAT,Lillija Brice,3482,high,2023/Long-eventor.xml
W16,20,OK,2056,HUN,Sara Szakal Biro,3538,high,2023/Long-eventor.xml
W16,21,OK,2064,EST,Mariann Zernant,3545,high,2023/Long-eventor.xml
W16,22,OK,2044,CZE,Anna Kynclova,3607,high,2023/Long-eventor.xml
W16,23,OK,2053,GER,Anna Tabea Holfeld,3632,high,2023/Long-eventor.xml
W16,24,OK,2055,DEN,Ingrid Due Nygaard,3656,high,2023/Long-eventor.xml
W16,25,OK,2072,LTU,Barbora Balciunaite,3666,high,2023/Long-eventor.xml
W16,26,OK,2081,ESP,Marta Villa Rodriguez,3676,high,2023/Long-eventor.xml
W16,27,OK,2069,SUI,Rahel Good,3684,high,2023/Long-eventor.xml
W16,28,OK,2063,CRO,Dora Delic,3687,high,2023/Long-eventor.xml
W16,29,OK,2080,EST,Liise Lillelaid,3696,high,2023/Long-eventor.xml
W16,30,OK,2009,FRA,Amaia Roche,3711,high,2023/Long-eventor.xml
W16,31,OK,2043,POL,Julia Biskupska,3727,high,2023/Long-eventor.xml
W16,32,OK,2054,LTU,Saule Traubaite,3773,high,2023/Long-eventor.xml
W16,33,OK,2015,UKR,Iryna Polubentseva,3787,high,2023/Long-eventor.xml
W16,34,OK,2005,GBR,Ruth Gooch,3808,high,2023/Long-eventor.xml
W16,35,OK,2062,POL,Antonina Mianowska,3810,high,2023/Long-eventor.xml
W16,36,OK,2073,BUL,Marta Ruseva,3819,high,2023/Long-eventor.xml
W16,37,OK,2052,UKR,Iryna Klymeniuk,3836,high,2023/Long-eventor.xml
W16,38,OK,2013,AUT,Mika Asenbauer,3849,high,2023/Long-eventor.xml
W16,39,OK,2021,AUT,Eva Friedl,3855,high,2023/Long-eventor.xml
W16,40,OK,2040,UKR,Mariia Terekhova,3857,high,2023/Long-eventor.xml
W16,41,OK,2051,ESP,Maria Guma Martinez,3878,high,2023/Long-eventor.xml
W16,42,OK,2060,FIN,Lotta Laakso,3910,high,2023/Long-eventor.xml
W16,43,OK,2070,ITA,Chiara Magenes,3917,high,2023/Long-eventor.xml
W16,44,OK,2038,HUN,Luca Mauer,3925,high,2023/Long-eventor.xml
W16,45,OK,2061,SLO,Ema Pika Raj,3927,high,2023/Long-eventor.xml
W16,46,OK,2078,AUT,Sona Asenbauer,3938,high,2023/Long-eventor.xml
W16,47,OK,2066,MDA,Victoria Nosenco,3958,high,2023/Long-eventor.xml
W16,48,OK,2027,SLO,Brina Kolner,3975,high,2023/Long-eventor.xml
W16,49,OK,2007,GER,Lena Baath,3982,high,2023/Long-eventor.xml
W16,50,OK,2085,LAT,Lauma Janelsina,4002,high,2023/Long-eventor.xml
W16,51,OK,2077,POL,Malgorzata Porzycz,4057,high,2023/Long-eventor.xml
W16,52,OK,2046,IRL,Eve Buckley,4071,high,2023/Long-eventor.xml
W16,53,OK,2030,GBR,Anna Todd,4135,high,2023/Long-eventor.xml
W16,54,OK,2004,HUN,Sara Totto,4174,high,2023/Long-eventor.xml
W16,55,OK,2032,GER,Marika Prolingheuer,4186,high,2023/Long-eventor.xml
W16,56,OK,2059,ROU,Diana Maria Pop,4234,high,2023/Long-eventor.xml
W16,57,OK,2048,BEL,Louise Mattart,4256,high,2023/Long-eventor.xml
W16,58,OK,2067,TUR,Hatice Elif Kurt,4265,high,2023/Long-eventor.xml
W16,59,OK,2076,FIN,Saana Kajander,4277,high,2023/Long-eventor.xml
W16,60,OK,2049,GBR,Lyra Medlock,4319,high,2023/Long-eventor.xml
W16,61,OK,2058,LAT,Ilze Jumike,4334,high,2023/Long-eventor.xml
W16,62,OK,2006,DEN,Signe Moeller Skaug,4348,high,2023/Long-eventor.xml
W16,63,OK,2019,ESP,Sandra Munoz Descalzo,4411,high,2023/Long-eventor.xml
W16,64,OK,2020,LAT,Eliza Odrina,4421,high,2023/Long-eventor.xml
W16,65,OK,2037,SRB,Sofija Janjic,4480,high,2023/Long-eventor.xml
W16,66,OK,2071,UKR,Inna Ignatieva,4532,high,2023/Long-eventor.xml
W16,67,OK,2045,BUL,Emanuela Stoyanova,4585,high,2023/Long-eventor.xml
W16,68,OK,2028,BUL,Stanimira Dimitrova,4633,high,2023/Long-eventor.xml
W16,69,OK,2025,ISR,Gaya Mitzafon,4642,high,2023/Long-eventor.xml
W16,70,OK,2079,FRA,Sonia Jolly Jansson,4756,high,2023/Long-eventor.xml
W16,71,OK,2002,SLO,Neza Obid,4767,high,2023/Long-eventor.xml
