class,rank,status,bib,country,name,time_seconds,confidence,source_file
M16,1,OK,1020,FIN,Aapo Virkajarvi,722,high,2023/Sprint-eventor.xml
M16,2,OK,1087,FIN,Rasmus Toyryla,727,high,2023/Sprint-eventor.xml
M16,3,OK,1006,CZE,Jan Vanicek,736,high,2023/Sprint-eventor.xml
M16,4,OK,1053,POL,Tomasz Rzenca,745,high,2023/Sprint-eventor.xml
M16,5,OK,1040,POL,Stanislaw Drapella,754,high,2023/Sprint-eventor.xml
M16,6,OK,1080,ESP,Aratz Beobide,760,high,2023/Sprint-eventor.xml
M16,7,OK,1014,ESP,Joan Montes,770,high,2023/Sprint-eventor.xml
M16,8,OK,1034,CZE,Erik Heczko,776,high,2023/Sprint-eventor.xml
M16,9,OK,1068,FRA,Lucas Verjux,777,high,2023/Sprint-eventor.xml
M16,10,OK,1088,CZE,Vladimir Srb,786,high,2023/Sprint-eventor.xml
M16,11,OK,1086,SUI,Lavio Mueller,788,high,2023/Sprint-eventor.xml
M16,12,OK,1066,SUI,Nicolas Mohn,790,high,2023/Sprint-eventor.xml
M16,13,OK,1018,SUI,Andri Gujan,791,high,2023/Sprint-eventor.xml
M16,13,OK,1024,SUI,Andrin Meier,791,high,2023/Sprint-eventor.xml
M16,15,OK,1008,SVK,Matej Balogh,795,high,2023/Sprint-eventor.xml
M16,16,OK,1093,DEN,Niels Jokumsen,800,high,2023/Sprint-eventor.xml
M16,17,OK,1079,EST,Partel Kulvik,801,high,2023/Sprint-eventor.xml
M16,18,OK,1052,SVK,Daniel Smelik,803,high,2023/Sprint-eventor.xml
M16,19,OK,1098,UKR,Oleksii Shyp,813,high,2023/Sprint-eventor.xml
M16,20,OK,1021,GBR,Laurence Ward,814,high,2023/Sprint-eventor.xml
M16,21,OK,1076,LAT,Renars Grasis,815,high,2023/Sprint-eventor.xml
M16,21,OK,1038,DEN,Asbjoern Faber Fenger Groen,815,high,2023/Sprint-eventor.xml
M16,23,OK,1085,POL,Filip Wodzicki,816,high,2023/Sprint-eventor.xml
M16,24,OK,1029,UKR,Artem Zhukovskyi,826,high,2023/Sprint-eventor.xml
M16,25,OK,1055,HUN,Mark Levente Bujdoso,828,high,2023/Sprint-eventor.xml
M16,26,OK,1095,GBR,Robert Finn Selmer Duguid,837,high,2023/Sprint-eventor.xml
M16,27,OK,1019,DEN,Magnus Lindahl,842,high,2023/Sprint-eventor.xml
M16,28,OK,1051,UKR,Volodymyr Horashko,844,high,2023/Sprint-eventor.xml
M16,29,OK,1002,CRO,Teo Mahovic,850,high,2023/Sprint-eventor.xml
M16,29,OK,1077,POR,Lucas Coelho,850,high,2023/Sprint-eventor.xml
M16,31,OK,1091,GER,Lennart Muehlstaedt,851,high,2023/Sprint-eventor.xml
M16,32,OK,1030,GBR,Ben Perry,852,high,2023/Sprint-eventor.xml
M16,33,OK,1003,FRA,Quentin Auneau,853,high,2023/Sprint-eventor.xml
M16,34,OK,1013,POL,Antoni Trzeciak,859,high,2023/Sprint-eventor.xml
M16,35,OK,1072,CZE,Prokop Tomasek,862,high,2023/Sprint-eventor.xml
M16,36,OK,1097,AUT,Niklas Ochenbauer,863,high,2023/Sprint-eventor.xml
M16,37,OK,1065,ROU,Vlad Percec,864,high,2023/Sprint-eventor.xml
M16,37,OK,1081,IRL,James Hottinger,864,high,2023/Sprint-eventor.xml
M16,39,OK,1023,HUN,Gergely Bonifert,865,high,2023/Sprint-eventor.xml
M16,40,OK,1048,BEL,Regis Vanschuytbroeck,871,high,2023/Sprint-eventor.xml
M16,40,OK,1067,DEN,Axel Oernhagen Joergensen,871,high,2023/Sprint-eventor.xml
M16,42,OK,1082,SRB,David Husag,873,high,2023/Sprint-eventor.xml
M16,42,OK,1027,GER,Niklas Wetzel,873,high,2023/Sprint-eventor.xml
M16,44,OK,1005,HUN,Bence Urge,879,high,2023/Sprint-eventor.xml
M16,45,OK,1096,LTU,Domas Juknevicius,884,high,2023/Sprint-eventor.xml
M16,46,OK,1041,CRO,Gabrijel Solenicki,890,high,2023/Sprint-eventor.xml
M16,46,OK,1036,ITA,Marco Gianelle,890,high,2023/Sprint-eventor.xml
M16,48,OK,1042,LAT,Rudolfs Graudins,893,high,2023/Sprint-eventor.xml
M16,49,OK,1016,SLO,Rok Bogataj,895,high,2023/Sprint-eventor.xml
M16,50,OK,1032,SVK,Michal Dolny,897,high,2023/Sprint-eventor.xml
M16,51,OK,1028,IRL,Gerry Browne,898,high,2023/Sprint-eventor.xml
M16,52,OK,1037,EST,Karel Jung,905,high,2023/Sprint-eventor.xml
M16,53,OK,1078,BEL,Oscar Bourgeois,916,high,2023/Sprint-eventor.xml
M16,54,OK,1063,AUT,Oliver Schnepf,917,high,2023/Sprint-eventor.xml
M16,55,OK,1084,HUN,Mihaly Csoboth,918,high,2023/Sprint-eventor.xml
M16,56,OK,1064,BUL,Dani Nikolov,919,high,2023/Sprint-eventor.xml
M16,57,OK,1054,GBR,Tommy Rollins,922,high,2023/Sprint-eventor.xml
