class,rank,status,bib,country,name,time_seconds,confidence,source_file
W16,1,OK,,SUI,Sara Luescher,894,high,2002/eyoc2002.htm
W16,2,OK,,HUN,Katalin Tas,902,high,2002/eyoc2002.htm
W16,3,OK,,FRA,Charlotte Bouchet,903,high,2002/eyoc2002.htm
W16,4,OK,,CZE,Iveta Duchova,905,high,2002/eyoc2002.htm
W16,5,OK,,CZE,Lucie Krafkova,908,high,2002/eyoc2002.htm
W16,6,OK,,POL,Katarzyna Kopka,929,high,2002/eyoc2002.htm
W16,7,OK,,HUN,Ivett Hrenko,1016,high,2002/eyoc2002.htm
W18,1,OK,,POL,Karolina Richert,780,high,2002/eyoc2002.htm
W18,2,OK,,EST,Eveli Saue,884,high,2002/eyoc2002.htm
W18,3,OK,,RUS,Nataliia Zakharova,894,high,2002/eyoc2002.htm
W18,4,OK,,POL,Dorota Kosinska,897,high,2002/eyoc2002.htm
W18,5,OK,,SUI,Noemi Cerny,909,high,2002/eyoc2002.htm
W18,6,OK,,CZE,Lenka Hruskova,911,high,2002/eyoc2002.htm
W18,7,OK,,HUN,Adrienn Csiszar,960,high,2002/eyoc2002.htm
W18,8,OK,,HUN,Bernadett Kelemen,981,high,2002/eyoc2002.htm
M16,1,OK,,SUI,Sebastian Haegler,829,high,2002/eyoc2002.htm
M16,2,OK,,UKR,Denys Zabayev,854,high,2002/eyoc2002.htm
M16,3,OK,,SVK,Michal Krajcik,861,high,2002/eyoc2002.htm
M16,4,OK,,BLR,Ruslan Voitsekhovich,870,high,2002/eyoc2002.htm
M16,5,OK,,SUI,Christian Mathys,883,high,2002/eyoc2002.htm
M16,6,OK,,POL,Filip Mazurek,884,high,2002/eyoc2002.htm
M16,7,OK,,HUN,Zoltan Horvath,919,high,2002/eyoc2002.htm
M16,8,OK,,HUN,Adam Kovacs,923,high,2002/eyoc2002.htm
M18,1,OK,,SUI,Fabian Hertner,741,high,2002/eyoc2002.htm
M18,2,OK,,HUN,Daniel Pelyhe,774,high,2002/eyoc2002.htm
M18,3,OK,,LAT,Kristaps Jaudzems,793,high,2002/eyoc2002.htm
M18,4,OK,,UKR,Yevgen Kandibey,800,high,2002/eyoc2002.htm
M18,5,OK,,FRA,Kirian Meyer,801,high,2002/eyoc2002.htm
M18,6,OK,,POL,Dariusz Sokalski,809,high,2002/eyoc2002.htm
M18,7,OK,,HUN,Istvan Zsebehazy,815,high,2002/eyoc2002.htm
