class,rank,status,country,team,total_time_seconds,leg1_name,leg1_time_seconds,leg2_name,leg2_time_seconds,leg3_name,leg3_time_seconds,confidence,source_file
W16,1,OK,SUI,Switzerland,5355,Sara Luescher,1922,Sara Wurmli,1745,Fabienne Stucki,1688,high,2002/eyoc2002.htm
W16,2,OK,LTU,Lithuania,5513,Kristina Rybakovaite,1764,Skaiste Sidaraviciute,1920,Rasa Ptasekaite,1829,high,2002/eyoc2002.htm
W16,3,OK,CZE,Czechia,5823,Lucie Krafkova,2046,Martina Kynclova,1837,Iveta Duchova,1940,high,2002/eyoc2002.htm
W16,4,OK,LAT,Latvia,5827,Ieva Purina,1859,Mara Jaunsproge,2014,Liene Bruvele,1954,high,2002/eyoc2002.htm
W16,5,OK,EST,Estonia,5947,Kadri Uiboupin,2310,Tais Leontenko,1926,Kati Rooni,1711,high,2002/eyoc2002.htm
W16,6,OK,SVK,Slovakia,6056,Jana Krsiakova,1783,Jana Macinska,2098,Maria Krsiakova,2175,high,2002/eyoc2002.htm
W16,7,OK,GER,Germany,6058,Rebecca Reischuk,1759,Susann Jahn,2008,Annett Juras,2291,high,2002/eyoc2002.htm
W16,8,OK,FRA,France,6232,Anais Goffre,2358,Charlotte Bouchet,1904,Amelie Chataing,1970,high,2002/eyoc2002.htm
W16,9,OK,POL,Poland,6733,Marta Traum,1782,Agnieszka Grzelak,2849,Katarzyna Kopka,2102,high,2002/eyoc2002.htm
W16,10,OK,RUS,Russia,6803,Elena Bibikova,1761,Nina Oleinitchenkova,2066,Svetlana Zaytseva,2976,high,2002/eyoc2002.htm
W16,11,OK,AUT,Austria,6808,Stephanie Killmann,2074,Solia Hirschmann,1966,Rgeina Irk,2768,high,2002/eyoc2002.htm
W16,12,OK,UKR,Ukraine,7294,Olha Sluta,2049,Olena Struhalova,3273,Maryana Kytsman,1972,high,2002/eyoc2002.htm
W16,13,OK,BUL,Bulgaria,7867,Mariana Ivanova,2442,Antoniya Grigorova,3481,Stanka Lazarova,1944,high,2002/eyoc2002.htm
W16,14,OK,HUN,Hungary,7957,Ivett Hrenko,2078,Kata Tas,2974,Virag Nagy,2905,high,2002/eyoc2002.htm
W18,1,OK,CZE,Czechia,6599,Lenka Hruskova,2229,Kristyna Kovarova,2255,Radka Brozkova,2115,high,2002/eyoc2002.htm
W18,2,OK,RUS,Russia,7003,Olga Belova,2241,Ekaterina Kisseleva,2291,Nataliia Zakharova,2471,high,2002/eyoc2002.htm
W18,3,OK,LAT,Latvia,7224,Madara Sinke,2581,Kristine Kokina,2432,Una Berzina,2211,high,2002/eyoc2002.htm
W18,4,OK,EST,Estonia,7226,Siiri Mere,2564,Annika Rihma,2509,Eveli Saue,2153,high,2002/eyoc2002.htm
W18,5,OK,HUN,Hungary,7230,Adrienn Csiszar,2578,Szava Zsigmond,2328,Bernadett Kelemen,2324,high,2002/eyoc2002.htm
W18,6,OK,POL,Poland,7567,Karolina Richert,2781,Anna Kraj,2271,Dorota Kosinska,2515,high,2002/eyoc2002.htm
W18,7,OK,GER,Germany,7726,Kristen Muller,2483,Beate Schmidt,2935,Elisa Kaufmann,2308,high,2002/eyoc2002.htm
W18,8,OK,AUT,Austria,7728,Karin Leonarth,2595,Jasmin Schuh,2848,Ursula Polzer,2285,high,2002/eyoc2002.htm
W18,9,OK,SVK,Slovakia,7730,Veronika Vavrova,2593,Hana Bajtosova,2292,Sona Berzinska,2845,high,2002/eyoc2002.htm
W18,10,OK,SUI,Switzerland,7805,Ines Brodmann,2958,Noemi Cerny,2407,Alexandra Khlebnikova,2440,high,2002/eyoc2002.htm
W18,11,OK,LTU,Lithuania,8182,Rasa Sarkelyte,2474,Juste Beresneviciute,3090,Edita Martuseviciute,2618,high,2002/eyoc2002.htm
W18,12,OK,UKR,Ukraine,8478,Yaroslava Trygubyak,2525,Izyna Pustovoit,3298,Nadiya Volynska,2655,high,2002/eyoc2002.htm
W18,13,OK,FRA,France,9220,Carole Klein,2877,Cecilia Cavallini,3070,Charline Santamaria,3273,high,2002/eyoc2002.htm
W18,14,OK,BUL,Bulgaria,9664,Tanya Merova,2546,Hristina Kozareva,4355,Boryana Melnikliyska,2763,high,2002/eyoc2002.htm
M16,1,OK,CZE,Czechia,5874,Bronislav Pribyl,1944,Jan Benes,2011,Jan Polasek,1919,high,2002/eyoc2002.htm
M16,2,OK,LAT,Latvia,6018,Roze Reners,2143,Anatolijs Tarasovs,2004,Marcis Matisans,1871,high,2002/eyoc2002.htm
M16,3,OK,LTU,Lithuania,6028,Romualdas Stupelis,1886,Tomas Uska,2048,Eiminas Voveris,2094,high,2002/eyoc2002.htm
M16,4,OK,RUS,Russia,6037,Alexander Leontyev,2044,Denis Glazunov,2104,Alechine Konstantin,1889,high,2002/eyoc2002.htm
M16,5,OK,SUI,Switzerland,6078,Gion Schnyder,2090,Simon Sauter,2137,Sebastian Haegler,1851,high,2002/eyoc2002.htm
M16,6,OK,EST,Estonia,6180,Veiko Kutt,2130,Mihkel Jarveoja,2049,Markus Puusepp,2001,high,2002/eyoc2002.htm
M16,7,OK,SVK,Slovakia,6251,Rastislav Szabo,2155,Martin Mazur,2070,Michal Krajcik,2026,high,2002/eyoc2002.htm
M16,8,OK,HUN,Hungary,6256,Adam Kovacs,2001,Zoltan Horvath,2081,Zsolt Lenkei,2174,high,2002/eyoc2002.htm
