IOF ID;First Name;Last Name;Country;WRS Position;WRS points;WRS events;Avg point;Region Pos
26629;Sze Lut Nazirite;Lee;HKG;1197;3754;5;750.8;
25430;David;Bakker;CAN;1198;3737;4;934.3;
21755;Michael;Adams;GBR;1199;3736;4;934.0;
10810;Florian;Howald;SUI;1200;3729;3;1243.0;
43894;Elias;Tikkanen;FIN;1200;3729;4;932.3;
7572;Alexander;Bergstrom;CAN;1202;3726;4;931.5;
47156;Ludvig;Hagwall;USA;1203;3714;4;928.5;
38863;Diego;Vieira;BRA;1204;3703;4;925.8;
13390;Toshiyuki;Matsuzawa;JPN;1205;3697;4;924.3;
40592;Michael;McCormack;NZL;1206;3694;4;923.5;
45752;Hayden;Smith;CAN;1206;3694;4;923.5;
50079;Hiroki;Takebayashi;JPN;1208;3686;4;921.5;
29846;Shoichi;Takamizawa;JPN;1209;3682;4;920.5;
34925;Ryan;Elliot;GBR;1210;3674;4;918.5;
43743;Yu;Tanaka;JPN;1211;3673;4;918.3;
21083;Chi Hang;Leung;HKG;1212;3669;5;733.8;
16697;Gaute;Steiwer;NOR;1213;3667;3;1222.3;
13377;Hans Petter;Mathisen;NOR;1214;3666;3;1222.0;
40867;Pierre;Bena;SUI;1215;3664;4;916.0;
42052;Ryusei;Irie;JPN;1216;3657;4;914.3;
6990;Rassmus;Andersson;SWE;1217;3654;3;1218.0;
40373;Jesper;Sjoblom;FIN;1218;3653;3;1217.7;
40570;Jack;Marschall;AUS;1219;3650;4;912.5;
24822;Eero;Heinonen;FIN;1220;3646;3;1215.3;
29253;Daniel Antonio;Pereira;HKG;1221;3641;5;728.2;
44708;Huseyin;Yuce;TUR;1222;3640;4;910.0;
42888;Tim;Johansson;SWE;1223;3639;3;1213.0;
48665;Lorenzo;Celona;ITA;1224;3632;5;726.4;
41909;Valter;Pettersson;SWE;1225;3631;3;1210.3;
18777;Rasmus Roerholt;Theisen;NOR;1226;3627;3;1209.0;
43824;Joar;Hertin;SWE;1226;3627;3;1209.0;
41910;Jesper;Lidmar;SWE;1228;3618;3;1206.0;
14509;Jon Aukrust;Osmoen;NOR;1229;3614;3;1204.7;
38296;Noel;Espigares Tapia;ESP;1230;3605;4;901.3;
33895;Basile;Basset;FRA;1231;3596;3;1198.7;
43213;Abdullah;Kasli;TUR;1232;3595;4;898.8;
11784;Kenny;Kivikas;EST;1233;3593;3;1197.7;
54938;Isak;Eskilsson;SWE;1234;3591;3;1197.0;
27370;Joonas;Ahola;FIN;1235;3587;3;1195.7;
12398;Ka Ching;Lam;HKG;1236;3583;5;716.6;
51196;Junior;Lizzi;BRA;1237;3580;5;716.0;
32922;Lucas;Sundblad;SWE;1238;3574;3;1191.3;
45566;Shawn;Mather;USA;1239;3567;4;891.8;
34298;Alexandre;Vergnaud;FRA;1240;3561;3;1187.0;
42129;Casper;Skepp;SWE;1241;3556;3;1185.3;
31794;Lassi;Vaismaa;FIN;1242;3550;3;1183.3;
22599;Henrik;Jonsson;SWE;1243;3549;3;1183.0;
23494;Sindre;Johannessen;NOR;1244;3548;3;1182.7;
8351;Alexander;Chepelin;GBR;1245;3547;3;1182.3;
17607;Luukas;Valtonen;FIN;1246;3542;3;1180.7;
9484;Espen;Fiskum;NOR;1247;3540;3;1180.0;
44064;Linus;Lundberg;SWE;1247;3540;3;1180.0;
18883;Erik;Classon;SWE;1249;3539;3;1179.7;
42257;Oscar;Rowe;IRL;1250;3536;4;884.0;
22790;Petja;Ylikyla;FIN;1251;3535;3;1178.3;
12082;Osvald;Kozak;CZE;1252;3532;3;1177.3;
32913;Simon;Wikstroem;SWE;1253;3529;3;1176.3;
12068;Wojciech;Kowalski;POL;1254;3528;3;1176.0;
35522;Viktor;Wassen;SWE;1255;3527;3;1175.7;
46290;Mario Sergio;Villela Machado;BRA;1256;3526;5;705.2;
51342;Winand;Bernaers;BEL;1257;3525;4;881.3;
18891;Sven;Hellmueller;SUI;1258;3515;3;1171.7;
38481;Florian;Moser;SUI;1259;3505;3;1168.3;
17008;Soeren;Schwartz;DEN;1260;3501;3;1167.0;
25197;Colin;Kolbe;GER;1261;3496;3;1165.3;
42043;Christian Bertel;Andersen;DEN;1262;3494;4;873.5;
31882;Mattia;Gruendler;SUI;1263;3485;3;1161.7;
48114;Christoffer;Aanensen;NOR;1264;3484;3;1161.3;
42190;Albin;Weiden;SWE;1265;3482;3;1160.7;
19993;Topias;Ahola;FIN;1266;3481;3;1160.3;
55214;Elia;Kaempe;SWE;1266;3481;3;1160.3;
24064;Pierre;Martinez;FRA;1268;3472;3;1157.3;
25287;Jacob;Eriksson;SWE;1269;3470;3;1156.7;
12666;Aapo;Leskinen;FIN;1270;3468;3;1156.0;
40344;Olof;Skoglund;SWE;1270;3468;3;1156.0;
43825;Hugo;Djurstedt;SWE;1272;3465;3;1155.0;
42158;Mattia;Corona;ITA;1273;3462;3;1154.0;
32969;Juho;Korpi;FIN;1273;3462;3;1154.0;
45650;Benjamin;Conley;USA;1275;3459;4;864.8;
50397;Arvid;Algers Omholt;SWE;1276;3458;3;1152.7;
34160;Leo;Holper;AUT;1277;3451;3;1150.3;
41141;Michal;Svadlena;CZE;1278;3450;3;1150.0;
46588;Janne;Tantanini;SUI;1279;3448;3;1149.3;
20169;Petr;Horvat;CZE;1280;3443;3;1147.7;
43753;Albin;Andersson;SWE;1281;3437;3;1145.7;
46725;Johannes;Stenberg;SWE;1282;3434;3;1144.7;
11471;Matej;Kamenicky;CZE;1282;3434;3;1144.7;
7654;Martin;Binder;AUT;1284;3433;3;1144.3;
37745;Jonas Damm;Als;DEN;1285;3432;3;1144.0;
12236;Janis;Kums;LAT;1285;3432;3;1144.0;
11849;Henrik;Rindom Knudsen;DEN;1287;3431;3;1143.7;
21663;Tomas;Lima;POR;1288;3428;3;1142.7;
34590;Santiago;Rodas Arias;COL;1288;3428;4;857.0;
7860;Marten;Bostrom;FIN;1290;3423;3;1141.0;
37154;Juuso;Viskari;FIN;1291;3419;3;1139.7;
