IOF ID;First Name;Last Name;Country;WRS Position;WRS points;WRS events;Avg point;Region Pos
25908;Ana;Marusceac;MDA;487;5003;5;1000.6;
40298;Rebecca;Ward;GBR;488;5002;5;1000.4;
42827;Yuko;Hotta;JPN;489;4978;5;995.6;
20384;Lindsay;Robertson;GBR;490;4974;5;994.8;
3280;Cho Yu;Lam;HKG;491;4971;5;994.2;
19247;Guadalupe;Moreno;ESP;492;4968;5;993.6;
21883;Gedvile;Dirziute;LTU;493;4954;5;990.8;
18989;Anna;Caglio;ITA;494;4951;5;990.2;
2511;Helena;Bergman;SWE;495;4948;4;1237.0;
47938;Chisako;Ono;JPN;496;4946;5;989.2;
44410;Machteld;van der Hoeven;NED;497;4942;5;988.4;
42208;Rebecca;Herna;SVK;498;4916;5;983.2;
37818;Nevena;Najdanovic;SRB;499;4907;5;981.4;
45923;Rita;Fernandes;POR;500;4901;5;980.2;
48191;Catarina;Reis;POR;501;4888;5;977.6;
34051;Alexandra;Roman;ROU;502;4880;5;976.0;
513;Pia;Blake;CAN;503;4872;5;974.4;
36408;Aysa Asya;Tuzcuogullari;TUR;503;4872;5;974.4;
44311;Bianca;Silva;BRA;505;4870;5;974.0;
44095;Viktorie;Skachova;CZE;506;4865;4;1216.3;
6394;Kjersti;Westin;NOR;507;4859;5;971.8;
47488;Yuiho;Kuwahara;JPN;508;4856;5;971.2;
50555;Elise Waerp;Hauge;NOR;509;4849;5;969.8;
44560;Alexandra;Serra Campos;POR;510;4847;5;969.4;
49507;Maria;Molino Castillo;ESP;511;4846;5;969.2;
39561;Robyn;Astridge;CAN;512;4844;5;968.8;
25751;Priscilla;Vieira Goncalves;BRA;513;4843;5;968.6;
25477;Maisa;Szczypior;BRA;514;4823;5;964.6;
28604;Ragne;Wiklund;NOR;515;4803;4;1200.8;
21468;Eliane;Deininger;SUI;516;4800;4;1200.0;
24092;Rebecca;George;AUS;517;4797;5;959.4;
46503;Yuki;Nakano;JPN;518;4786;5;957.2;
33878;Paula;Pavlin;CRO;519;4777;5;955.4;
19003;Laura;Vigni;ITA;520;4771;5;954.2;
21740;Ingrid;Gulbrandsen;NOR;521;4758;4;1189.5;
6220;Tuulia;Viberg;FIN;522;4756;4;1189.0;
47022;Tuva;Ostangard;SWE;523;4742;4;1185.5;
38062;Wing;Man;HKG;523;4742;5;948.4;
42311;Michaela;Novotna;CZE;525;4740;4;1185.0;
6463;Yi Shan;Wong;HKG;526;4732;5;946.4;
2431;Lizzie;Ingham;NZL;527;4730;4;1182.5;
28648;Isa;S Envall;SWE;528;4718;4;1179.5;
51315;Emilia;Melender;FIN;529;4707;5;941.4;
22245;Silja;Kauppinen;FIN;530;4700;4;1175.0;
41810;Emma;Ling;SWE;531;4690;4;1172.5;
33368;Ingrid;Kurz;SUI;531;4690;5;938.0;
461;Katherine;Bett;GBR;533;4688;5;937.6;
43617;Elsa;Kaipe;SWE;534;4687;4;1171.8;
34089;Michaela;Dittrichova;CZE;535;4684;4;1171.0;
42256;Emily;Rowe;IRL;536;4676;5;935.2;
47060;Hana;Vitkova;CZE;537;4669;4;1167.3;
51081;Ekaterina;Menshova;IIA;538;4668;5;933.6;
33697;Jenny;Baklid;NOR;539;4667;4;1166.8;
23028;Aino;Vayrynen;FIN;540;4660;4;1165.0;
47082;Synne;Sandven;NOR;541;4649;4;1162.3;
49375;Irena;Gorjanc;SRB;542;4644;5;928.8;
43778;Alicia;Lundgren;SWE;543;4643;4;1160.8;
19035;Lisa;Schubnell;SUI;544;4642;4;1160.5;
47057;Katerina;Stepova;CZE;544;4642;4;1160.5;
29797;Laura;Harrison;GBR;546;4641;5;928.2;
2789;Sanna;Kauppila;FIN;547;4640;4;1160.0;
29631;Myrra;Carlsson;SWE;547;4640;4;1160.0;
48090;Irina;Soares;POR;549;4639;5;927.8;
31928;Elsa;Ankelo;FIN;549;4639;4;1159.8;
45839;Coralie;Waldner;SUI;551;4638;4;1159.5;
52215;Darinka;Radenkovic;SRB;551;4638;5;927.6;
33062;Scarlet;Heap;GBR;553;4635;5;927.0;
28137;Mariia;Tymoshchuk;UKR;554;4634;4;1158.5;
47153;Heta;Virkajarvi;FIN;555;4633;4;1158.3;
882;Hau Wah Brenda;Chan;HKG;556;4628;5;925.6;
44379;Maya;Hampshire Wright;GBR;557;4617;5;923.4;
32404;Esther;Marnet;BRA;558;4612;5;922.4;
32884;Gennhsa;Sobreira;BRA;559;4610;5;922.0;
6540;Tsz Ying;Yu;HKG;560;4608;5;921.6;
52397;Beatriz;Coelho;POR;561;4607;5;921.4;
41302;Olivia;Hahn;FIN;562;4603;4;1150.8;
29270;Rie;Tanikawa;JPN;563;4602;5;920.4;
48887;Sara;Arrotea;POR;564;4600;5;920.0;
33724;Salla;Isoherranen;FIN;565;4595;4;1148.8;
49842;Miu;Nakadate;JPN;566;4593;5;918.6;
42146;Violette;Dupuy;FRA;567;4584;4;1146.0;
48128;Minna;Wingstedt;NOR;568;4580;4;1145.0;
3609;Sara;Luescher;SUI;569;4577;4;1144.3;
37819;Eva;Solaja;SRB;570;4575;5;915.0;
40308;Aasne;Haavengen;NOR;570;4575;4;1143.8;
46775;Tuulia;Jussinmaki;FIN;572;4567;5;913.4;
42412;Ladina;Gasser;SUI;573;4565;4;1141.3;
51744;Giada;Corso;ITA;574;4564;5;912.8;
45075;Alina;Darienco;MDA;575;4558;5;911.6;
3408;Ka Ki;Leung;HKG;576;4553;5;910.6;
45173;Margherita;Bugane;ITA;577;4552;5;910.4;
23399;Natalie;Hiklova;CZE;578;4549;4;1137.3;
735;Dominique;Bucher;SUI;579;4544;4;1136.0;
46719;Iruka;Maki;JPN;580;4542;5;908.4;
44605;Ilze;Jumike;LAT;581;4541;4;1135.3;
54940;Ida;Eskilsson;SWE;582;4531;4;1132.8;
44242;Mina;Joergensen;NOR;583;4526;4;1131.5;
41937;Emily;Adenstedt;AUT;583;4526;4;1131.5;
37644;Mariana;Ostetto;BRA;585;4524;5;904.8;
3961;Anna;Moilanen;FIN;586;4520;4;1130.0;
28317;Tina;Tiefenboeck;AUT;587;4516;4;1129.0;
154;Anu;Akerman;EST;588;4514;4;1128.5;
2654;Eva;Jurenikova;CZE;589;4513;4;1128.3;
25748;Idun Kristine Felde;Olaussen;NOR;590;4491;4;1122.8;
52968;Helmiemilia;Malin;FIN;591;4490;5;898.0;
24223;Jonna;Juva;FIN;592;4478;4;1119.5;
31988;Hilla;Pitkanen;FIN;592;4478;4;1119.5;
49611;Lucie;Krejcova;CZE;594;4469;4;1117.3;
24234;Sanni;Norrbacka;FIN;595;4451;4;1112.8;
51117;Zoe;Villar;FRA;596;4449;4;1112.3;
48394;Eszter Julia;Pinter;HUN;597;4442;5;888.4;
776;Lucy;Walker;GBR;598;4438;4;1109.5;
46356;Elin;Rindstig;SWE;599;4437;4;1109.3;
33920;Camilla;Delenne;FRA;600;4435;4;1108.8;
27298;Malgorzata;Pachnik;POL;601;4433;4;1108.3;
46110;Eylul;Senal;TUR;602;4431;5;886.2;
51122;Anastacia;Rocha Pereira;BRA;603;4414;5;882.8;
46622;Lucie;Gaudion;FRA;604;4409;4;1102.3;
2326;Barbora;Zhanalova;CZE;605;4406;4;1101.5;
49671;Tove;Sjoberg;SWE;606;4400;4;1100.0;
48897;Ingrid;Mobraathen;NOR;607;4397;4;1099.3;
19338;Amanda;Holmgren;SWE;608;4395;4;1098.8;
31630;Alyssia;Wymer;FRA;609;4394;4;1098.5;
