class,rank,status,country,team,total_time_seconds,leg1_name,leg1_time_seconds,leg2_name,leg2_time_seconds,leg3_name,leg3_time_seconds,confidence,source_file
W16,1,OK,SUI,Switzerland,5380,Rahel Bertschi,1898,Lisa Holer,1830,Sandrine Muller,1652,high,2010/eyoc2010.htm
W16,2,OK,CZE,Czechia,5858,Lenka Svobodova,1866,Karolina Borankova,2144,Katerina Chroma,1848,high,2010/eyoc2010.htm
W16,3,OK,DEN,Denmark,5993,Miri Thrane Odum,1872,Cecilie Friberg Klysner,2138,Camilla Bevensee,1983,high,2010/eyoc2010.htm
W16,4,OK,GBR,UK,6096,Rona Lindsay,1909,Florence Haines,2229,Lucy Butt,1958,high,2010/eyoc2010.htm
W16,5,OK,ESP,Spain,6370,Marina Garcia,1876,Silvia Martin de Los Rios,2334,Carmen Patino,2160,high,2010/eyoc2010.htm
W16,6,OK,RUS,Russia,6420,Ekaterina Savkina,2061,Anna Mikheeva,2375,Daria Korobeynik,1984,high,2010/eyoc2010.htm
W16,7,OK,HUN,Hungary,6426,Virag Weiler,1921,Kinga Varsanyi,2382,Vanda Kinde,2123,high,2010/eyoc2010.htm
W16,8,OK,UKR,Ukraine,6925,Olena Postelnyak,1996,Natalia Kotok,2651,Mariya Polishchuk,2278,high,2010/eyoc2010.htm
W16,9,OK,ITA,Italy,6942,Flavia Mezja,2052,Linda Liu,2447,Marta Fornasier,2443,high,2010/eyoc2010.htm
W16,10,OK,POR,Portugal,7066,Ana Anjos,2813,Ines Domingues,2369,Vera Alvarez,1884,high,2010/eyoc2010.htm
W16,11,OK,EST,Estonia,7414,Margret Zimmermann,2530,Triinu Rooni,2725,Madli-Johanna Maidla,2159,high,2010/eyoc2010.htm
W16,12,OK,FRA,France,7456,Delphine Poirot,3100,Noemie Roulleaux,2318,Lauriane Beauvisage,2038,high,2010/eyoc2010.htm
W16,13,OK,LTU,Lithuania,7987,Milda Radzivonaite,3357,Laura Zickute,2446,Akvile Preiksaite,2184,high,2010/eyoc2010.htm
W16,14,OK,AUT,Austria,8208,Lisa Pacher,2684,Martina Walch,2725,Nora Ramstein,2799,high,2010/eyoc2010.htm
W16,15,OK,BUL,Bulgaria,9614,Aleksandra Nikolova,2696,Antoaneta Dyaksova,3906,Martina Dzhulieva,3012,high,2010/eyoc2010.htm
W16,16,OK,POL,Poland,10767,Angelika Haniszewska,3345,Agata Stankiwair,2536,Angelika MacIejewska,4886,high,2010/eyoc2010.htm
W16,,DNF,LAT,Latvia,,Arta Martinsone,2238,Madara Sadrina,,Liga Valdmane,1973,high,2010/eyoc2010.htm
W16,,DNF,SLO,Slovenia,,Tajda Foski,4315,Ana Cufer,,Ula Dremel,,high,2010/eyoc2010.htm
W16,,DNF,IRL,Ireland,,Niamh Corbett,2201,Ciliona Mc Cullough,3812,Desconocido,,high,2010/eyoc2010.htm
W18,1,OK,CZE,Czechia,6841,Marketa Poloprutska,2318,Tereza Svobodna,2277,Petra Pavlovcova,2246,high,2010/eyoc2010.htm
W18,2,OK,FIN,Finland,7047,Henna-Riikka Haikonen,2218,Essi Hietaoja,2436,Sonja Liukkonen,2393,high,2010/eyoc2010.htm
W18,3,OK,POL,Poland,7048,Natalia Ewiakc,2332,Hanna Klimkowska,2278,Anna Marawska,2438,high,2010/eyoc2010.htm
W18,4,OK,POR,Portugal,7164,Isabel Sa,2439,Mariana Moreira,2233,Joana Costa,2492,high,2010/eyoc2010.htm
W18,5,OK,SWE,Sweden,7177,Heinrup Rebecka,2353,Bjorklund Amilia,2536,Axelsson-Meyerso Hanna,2288,high,2010/eyoc2010.htm
W18,6,OK,NOR,Norway,7221,Anneke Hald Bjorgum,3053,Kamilla Olausen,2140,Silje Uhlen Maurset,2028,high,2010/eyoc2010.htm
W18,7,OK,GER,Germany,7346,Susen Losch,2292,Resi Rathmann,2681,Anna Biller,2373,high,2010/eyoc2010.htm
W18,8,OK,LAT,Latvia,7367,Ance Rusova,2355,Madara Freimane,2673,Beata Zalaiskalna,2339,high,2010/eyoc2010.htm
W18,9,OK,HUN,Hungary,7400,Filomena Kovacs,2769,Monika Szokol,2374,Reka Zempleni,2257,high,2010/eyoc2010.htm
W18,10,OK,GBR,UK,7464,Kirstin Maxwell,2249,Joanna Sherperd,2869,Sophie Kirk,2346,high,2010/eyoc2010.htm
W18,11,OK,AUT,Austria,7572,Bauer Julia,2335,Nilsson-Simkovic Anna,2758,Arbter Anja,2479,high,2010/eyoc2010.htm
W18,12,OK,EST,Estonia,7889,Kerstin Uiboupin,2603,Kaisa Raudkepp,2573,Kaia Kivikas,2713,high,2010/eyoc2010.htm
W18,13,OK,RUS,Russia,8078,Ekaterina Kuznetcova,2881,Veronika Kortyleva,2889,Natalia Chepaeva,2308,high,2010/eyoc2010.htm
W18,14,OK,SUI,Switzerland,8158,Franziska Dorig,2106,Eveline Schaerli,3361,Marion Aebi,2691,high,2010/eyoc2010.htm
W18,15,OK,ITA,Italy,8216,Liliana Papandrea,2625,Giada Franz,2748,Viola Zagonel,2843,high,2010/eyoc2010.htm
W18,16,OK,FRA,France,8223,Fanny Roche,2607,Emilie Backsheider,2955,Isia Basset,2661,high,2010/eyoc2010.htm
W18,17,OK,UKR,Ukraine,9009,Anna Vakulenko,2344,Alona Yatsyna,3248,Olena Fedorova,3417,high,2010/eyoc2010.htm
W18,18,OK,BUL,Bulgaria,9353,Nadezhda Stoyanova,2790,Kristina Gotseva,3220,Kristina Ivanova,3343,high,2010/eyoc2010.htm
W18,19,OK,SVK,Slovakia,9365,Ludmila Sokolova,2754,Barbora Pijakova,3473,Katarina Papugova,3138,high,2010/eyoc2010.htm
W18,20,OK,ESP,Spain,9379,Violeta Feliciano,2593,Raquel Martin,3310,Gema Arellano,3476,high,2010/eyoc2010.htm
W18,21,OK,BLR,Belarus,10294,Yuliya Tsvirbut,2992,Natallia Shakhmetava,3075,Anastasiya Ilkevich,4227,high,2010/eyoc2010.htm
W18,22,OK,BEL,Belgium,10834,Charlotte Theys,3694,Fanny Tilkin,3735,Anabel Schneider,3405,high,2010/eyoc2010.htm
M16,1,OK,DEN,Denmark,6226,Joakim Sehested Die,2215,Jonas Falck Weber,2114,Thor Norskov,1897,high,2010/eyoc2010.htm
