class,rank,status,country,team,total_time_seconds,leg1_name,leg1_time_seconds,leg2_name,leg2_time_seconds,leg3_name,leg3_time_seconds,confidence,source_file
M18,1,OK,FIN,Finland 1,6001,Vilho Hietala,1948,Joakim Savinainen,2036,Veeti Viippola,2017,high,2026/03-relay-results-eventor.xml
M18,2,OK,CZE,Czechia 1,6087,Matous Skripnik,2155,Matej Cecka,2032,Martin Bulicka,1900,high,2026/03-relay-results-eventor.xml
M18,3,OK,FRA,France 1,6405,Titouan Andrieux,1939,Tom Lemercier,2148,Emmanuel Pradeau,2318,high,2026/03-relay-results-eventor.xml
M18,4,OK,POL,Poland 1,6413,Antoni Trzeciak,2327,Piotr Motala,2085,Antoni Pachnik,2001,high,2026/03-relay-results-eventor.xml
M18,5,OK,SWE,Sweden 1,6512,Jonatan Haglund,2327,Alvin Lundgren,2018,Olof Tholen,2167,high,2026/03-relay-results-eventor.xml
M18,6,OK,LTU,Lithuania 1,6599,Tijus Jokubauskis,2232,Povilas Rimkus,2136,Troj Gunnarsson,2231,high,2026/03-relay-results-eventor.xml
M18,7,OK,GER,Germany 1,6716,Rasmus Viertel,2192,Daniel Schmidt,2228,Julian Doetsch,2296,high,2026/03-relay-results-eventor.xml
M18,8,OK,ROU,Romania 1,6754,Radu Ilin,1956,Benjamin Simon,2263,Vlad Percec,2535,high,2026/03-relay-results-eventor.xml
M18,9,OK,SUI,Switzerland 1,6832,Taavi Caboussat,2173,Janis Gwerder,2619,Andrin Meier,2040,high,2026/03-relay-results-eventor.xml
M18,10,OK,LAT,Latvia 1,6871,Lars Anders Luiks,2287,Gustavs Locmelis,2141,Gustavs Millers,2443,high,2026/03-relay-results-eventor.xml
M18,11,OK,UKR,Ukraine 1,7085,Vladyslav Zhukovskyi,2055,Rostyslav Trachuk,2493,Oleksandr Balashovets,2537,high,2026/03-relay-results-eventor.xml
M18,12,OK,NOR,Norway 1,7301,Ludvig Langoeygard,2395,Jonas Alstad,2141,Sondre Prytz Hafskjold,2765,high,2026/03-relay-results-eventor.xml
M18,13,OK,HUN,Hungary 1,7342,Vilmos Braun,2696,Agoston Kiss,2418,Bela Barnabas Sugta,2228,high,2026/03-relay-results-eventor.xml
M18,14,OK,DEN,Denmark 1,7374,Eskild Stig Nielsen,2298,Rune Cederberg,2551,Lukas Verhelst,2525,high,2026/03-relay-results-eventor.xml
M18,15,OK,TUR,Turkiye 1,7390,Poyraz Vural,2050,Kuzey Basol,2151,Mustafa Talha Bilge,3189,high,2026/03-relay-results-eventor.xml
M18,16,OK,IRL,Ireland 1,7431,Aidan McKenna,1941,Liam Casey,2182,Liam O Donnell,3308,high,2026/03-relay-results-eventor.xml
M18,17,OK,GBR,Great Britain 1,7467,Marcus Perry,2384,Oscar Peel,2636,Ruari Cottier,2447,high,2026/03-relay-results-eventor.xml
M18,18,OK,ITA,Italy 1,7510,Niklas Weitlaner,2191,Alessandro Moser,2840,Marco Gianelle,2479,high,2026/03-relay-results-eventor.xml
M18,19,OK,ISR,Israel 1,7534,Yuval Kalkstein,2125,Ronen Shuv,2444,Hillel Seligmann,2965,high,2026/03-relay-results-eventor.xml
M18,20,OK,EST,Estonia 1,7703,Henri Kersna,2841,Villem Piirimae,2548,Erik Marten Zernant,2314,high,2026/03-relay-results-eventor.xml
M18,21,OK,BEL,Belgium 1,7708,Pjotr Mertens,2177,Linus Claesson,2827,Tim Lemy Storme,2704,high,2026/03-relay-results-eventor.xml
M18,22,OK,BUL,Bulgaria 1,8155,Svetlozar Kolev,2283,Hristo Dimov,2554,Aleksandar Pedev,3318,high,2026/03-relay-results-eventor.xml
M18,23,OK,AUT,Austria 1,8291,Lauri Urbanek,2503,Tobias Angermann,2886,Axel Renner,2902,high,2026/03-relay-results-eventor.xml
M18,24,OK,SVK,Slovakia 1,8839,Jan Dokupil,2627,Daniel Jozef Nemcek,3418,Michal Marko,2794,high,2026/03-relay-results-eventor.xml
M18,25,OK,SLO,Slovenia 1,9951,Ozbej Malus,2876,Vid Bratusa,3538,David Sedej,3537,high,2026/03-relay-results-eventor.xml
M18,26,OK,POR,Portugal 1,12170,Joao Maia,2602,Miguel Ferreira,4155,Miguel Canana,5413,high,2026/03-relay-results-eventor.xml
M18,27,MP,ESP,Spain 1,6802,Pablo Rubio Cribellati,2182,Cesc Amat Font,2067,Ekain Fernandez Garcia,2553,high,2026/03-relay-results-eventor.xml
W18,1,OK,CZE,Czechia 1,6458,Karolina Novotna,2198,Matilda Tomaskova,2171,Tereza Ester Kamenicka,2089,high,2026/03-relay-results-eventor.xml
W18,2,OK,SWE,Sweden 1,6487,Maja Maxen,2184,Elsa Ehrenborg,2066,Elvira Lindsten,2237,high,2026/03-relay-results-eventor.xml
W18,3,OK,HUN,Hungary 1,6768,Zsofia Gabor,2226,Aliz Heizer,2223,Sara Szakal Biro,2319,high,2026/03-relay-results-eventor.xml
