class,rank,status,country,team,total_time_seconds,leg1_name,leg1_time_seconds,leg2_name,leg2_time_seconds,leg3_name,leg3_time_seconds,confidence,source_file
W16,1,OK,SUI,Switzerland,4965,Sonja Feer,1733,Rachel Engeler,1464,Judith Wyder,1768,high,2003/eyoc2003.htm
W16,2,OK,CZE,Czech Republic,4981,Simona Karochová,1668,Zuzana Hermanová,1559,Hana Hlavová,1754,high,2003/eyoc2003.htm
W16,3,OK,RUS,Russia,4986,Valentina Salova,1679,Tatiana Podkolzina,1513,Nin Oleynichenkova,1794,high,2003/eyoc2003.htm
W16,4,OK,FRA,France,4999,Marine Leloup,1573,Karin D´Harreville,1691,Cecile Papillon,1735,high,2003/eyoc2003.htm
W16,5,OK,UKR,Ukraine,5208,Tetyana Zhiltsova,1848,Olena Struhalova,1594,Hanna Kalinichenko,1766,high,2003/eyoc2003.htm
W16,6,OK,POL,Poland,5287,Karolina Majewska,1761,Karoli Stankiewicz,1852,Iwona Wicha,1674,high,2003/eyoc2003.htm
W16,7,OK,HUN,Hungary,5358,Dóra Szerencsi,1744,Ivett Hrenkó,1834,Katalin Tas,1780,high,2003/eyoc2003.htm
W16,8,OK,LAT,Latvia,5974,Mara Jaunsproge,1874,Sanita Sokolova,2383,Krista Mihailova,1717,high,2003/eyoc2003.htm
W16,9,OK,GER,Germany,6249,Jitka Kraemer,1880,Susann Jahn,2484,Sandra Juras,1885,high,2003/eyoc2003.htm
W16,10,OK,EST,Estonia,6319,Ly Trei,1869,Anniki Inno,2099,Kati Rooni,2351,high,2003/eyoc2003.htm
W16,11,OK,SVK,Slovakia,6329,Mária Kriaková,1861,Renáta Barcíková,2085,Erika Hlaváčiková,2383,high,2003/eyoc2003.htm
W16,12,OK,AUT,Austria,6426,Stephanie Killmann,1853,Michaela Zechner,2420,Agnes Harreither,2153,high,2003/eyoc2003.htm
W16,13,OK,LTU,Lithuania,6564,Ugne Vasyliote,1857,Gabija Razaityte,2505,Viktori Zacharenko,2202,high,2003/eyoc2003.htm
