class,rank,status,country,team,total_time_seconds,leg1_name,leg1_time_seconds,leg2_name,leg2_time_seconds,leg3_name,leg3_time_seconds,confidence,source_file
W16,1,OK,CZE,Czechia,6015,Lenka Svobodova,1879,Karolina Borankova,2312,Anna Stickova,1824,high,2011/eyoc2011.htm
W16,2,OK,FRA,France,6356,Lucile Clouard,2255,Delphine Poirot,2186,Chloe Haberkorn,1915,high,2011/eyoc2011.htm
W16,3,OK,SUI,Switzerland,6566,Paula Gross,2206,Kerstin Ullmann,2500,Sandrine Muller,1860,high,2011/eyoc2011.htm
W16,4,OK,RUS,Russia,6576,Anna Dvorianskaia,2195,Marina Trubkina,2439,Daria Korobeynik,1942,high,2011/eyoc2011.htm
W16,5,OK,DEN,Denmark,6942,Signe Edsen,2092,Amanda Falck Weber,2666,Miri Thrane Oedum,2184,high,2011/eyoc2011.htm
W16,6,OK,UKR,Ukraine,7432,Olena Postelniak,2198,Nina Kuznetsova,3083,Valentyna Pelekhovych,2151,high,2011/eyoc2011.htm
W16,7,OK,BUL,Bulgaria,7433,Antoaneta Dyaksova,2570,Martina Dzhulieva,2705,Aleksandra Nikolova,2158,high,2011/eyoc2011.htm
W16,8,OK,AUT,Austria,7450,Elisa Payer,2233,Anika Gassner,3041,Nora Ramstein,2176,high,2011/eyoc2011.htm
W16,9,OK,GER,Germany,7485,Leonore Winkler,2465,Hanna Mueller,2812,Patricia Nieke,2208,high,2011/eyoc2011.htm
W16,10,OK,LTU,Lithuania,7637,Justina Lipeikyte,2097,Egle Aleksaite,3183,Giedre Domarkaite,2357,high,2011/eyoc2011.htm
W16,11,OK,HUN,Hungary,7649,Virag Weiler,2100,Reka Faggyas,3208,Luca Szuromi,2341,high,2011/eyoc2011.htm
W16,12,OK,GBR,UK,7663,Katherine Hall,2230,Megan Carter-Davies,2877,Natalie Beadle,2556,high,2011/eyoc2011.htm
W16,13,OK,EST,Estonia,8089,Margret Zimmermann,2583,Marianne Haug,3135,Triinu Rooni,2371,high,2011/eyoc2011.htm
W16,14,OK,ITA,Italy,9142,Lia Patscheider,2473,Gaia Sebastiani,3650,Elisa Lucian,3019,high,2011/eyoc2011.htm
W16,15,OK,ISR,Israel,9175,Hilla Ayali,2910,Adi Gutman,3279,Marina Maerkovitch,2986,high,2011/eyoc2011.htm
W16,16,OK,SVK,Slovakia,9898,Andrea Papugova,4302,Vanda Hosekova,3156,Martina Papugova,2440,high,2011/eyoc2011.htm
W16,17,OK,ESP,Spain,9924,Silvia Martin de los Rios,2472,Marta Guijo Alonso,4187,Illa Camps Maria,3265,high,2011/eyoc2011.htm
W16,18,OK,SLO,Slovenia,11296,Tajda Foski,2618,Nusa Jeram,5048,Ana Cufer,3630,high,2011/eyoc2011.htm
W18,1,OK,CZE,Czechia,7388,Johanka Simkova,2366,Nikola Kochova,2841,Vendula Horcickova,2181,high,2011/eyoc2011.htm
W18,2,OK,NOR,Norway,7505,Marie Nordbye Nybo,2474,Anna Ulvensoen,2727,Runa Fremstad,2304,high,2011/eyoc2011.htm
W18,3,OK,AUT,Austria,7508,Anna Nilsson Simkovics,2301,Lisa Pacher,2940,Anja Arbter,2267,high,2011/eyoc2011.htm
W18,4,OK,SWE,Sweden,7917,Olivia Kollberg,2833,Johanna Erlandsson,2762,Frida Sandberg,2322,high,2011/eyoc2011.htm
W18,5,OK,LTU,Lithuania,8126,Akvile Preiksaite,2556,Milda Radzivonaite,3077,Vesta Ambrazaite,2493,high,2011/eyoc2011.htm
W18,6,OK,RUS,Russia,8168,Ekaterina Anufrieva,2540,Anastasiia Neverova,3285,Ekaterina Savkina,2343,high,2011/eyoc2011.htm
W18,7,OK,FIN,Finland,8457,Annika Kottonen,2884,Sara Karvonen,3015,Henna Skog,2558,high,2011/eyoc2011.htm
W18,8,OK,GBR,UK,8651,Rhona Mcmillan,3263,Florence Haines,2773,Rona Lindsay,2615,high,2011/eyoc2011.htm
W18,9,OK,LAT,Latvia,8704,Liga Valdmane,2582,Beata Zalaiskalna,3218,Sandra Grosberga,2904,high,2011/eyoc2011.htm
W18,10,OK,SUI,Switzerland,8905,Julia Gurtler,2658,Veronique Ruppenthal,3340,Thalia Bertschinger,2907,high,2011/eyoc2011.htm
W18,11,OK,EST,Estonia,8914,Evely Kaasiku,2630,Marili Zimmermann,3556,Kaisa Raudkepp,2728,high,2011/eyoc2011.htm
W18,12,OK,HUN,Hungary,8996,Kinga Varsanyi,2651,Vanda Kinde,3547,Reka Zempleni,2798,high,2011/eyoc2011.htm
W18,13,OK,UKR,Ukraine,9441,Anna Vakulenko,2636,Yuliya Kravchuk,3611,Mariya Polishchuk,3194,high,2011/eyoc2011.htm
W18,14,OK,FRA,France,9668,Lauriane Beauvisage,2831,Laurine Loterie,4005,Noemie Roulleaux,2832,high,2011/eyoc2011.htm
W18,15,OK,POL,Poland,9873,Angelika Haniszewska,3387,Anna Morawska,3243,Malgorzata Szeliga,3243,high,2011/eyoc2011.htm
W18,16,OK,ESP,Spain,9903,Marina Garcia Castro,2464,Carmen Patino Deniz,3224,Luna Garcia Elena,4215,high,2011/eyoc2011.htm
W18,17,OK,SVK,Slovakia,10398,Barbora Pijakova,3068,Ludmila Sokolova,3103,Lucia Steigrova,4227,high,2011/eyoc2011.htm
