class,rank,status,bib,country,name,time_seconds,confidence,source_file
W16,1,OK,,SUI,Müller Sandrine,696,high,2011/eyoc2011.htm
W16,2,OK,,DEN,Thrane Odum Miri,707,high,2011/eyoc2011.htm
W16,3,OK,,LAT,Grosberga Sandra,722,high,2011/eyoc2011.htm
W16,4,OK,,FRA,Poirot Delphine,742,high,2011/eyoc2011.htm
W16,5,OK,,RUS,Trubkina Marina,753,high,2011/eyoc2011.htm
W16,6,OK,,SUI,Gross Paula,757,high,2011/eyoc2011.htm
W16,7,OK,,CZE,Šticková Anna,758,high,2011/eyoc2011.htm
W16,8,OK,,CZE,Hancová Petra,760,high,2011/eyoc2011.htm
W16,9,OK,,CZE,Svobodová Lenka,761,high,2011/eyoc2011.htm
W16,10,OK,,SUI,Ullmann Kerstin,771,high,2011/eyoc2011.htm
W16,11,OK,,DEN,Falck Weber Amanda,778,high,2011/eyoc2011.htm
W16,12,OK,,BUL,Dyaksova Antoaneta,779,high,2011/eyoc2011.htm
W16,13,OK,,BEL,Verdeyen Elke,780,high,2011/eyoc2011.htm
W16,14,OK,,UKR,Postelniak Olena,781,high,2011/eyoc2011.htm
W16,15,OK,,GER,Müller Hanna,786,high,2011/eyoc2011.htm
W16,16,OK,,EST,Haug Marianne,789,high,2011/eyoc2011.htm
W16,17,OK,,SUI,Schubnell Lisa,789,high,2011/eyoc2011.htm
W16,18,OK,,CZE,Boránková Karolína,793,high,2011/eyoc2011.htm
W16,19,OK,,POL,Waäczyk Zuzanna,802,high,2011/eyoc2011.htm
W16,20,OK,,DEN,Edsen Signe,808,high,2011/eyoc2011.htm
W16,21,OK,,BUL,Nikolova Aleksandra,815,high,2011/eyoc2011.htm
W16,22,OK,,UKR,Androsova Tetyana,818,high,2011/eyoc2011.htm
W16,23,OK,,AUT,Walch Martina,818,high,2011/eyoc2011.htm
W16,24,OK,,RUS,Dvorianskaia Anna,819,high,2011/eyoc2011.htm
W16,25,OK,,POR,Moreira Beatriz,823,high,2011/eyoc2011.htm
W16,26,OK,,ESP,Camps Maria Illa,823,high,2011/eyoc2011.htm
W16,27,OK,,EST,Rooni Triinu,825,high,2011/eyoc2011.htm
W16,28,OK,,HUN,Weiler Virág,829,high,2011/eyoc2011.htm
W16,29,OK,,EST,Zimmermann Margret,829,high,2011/eyoc2011.htm
W16,30,OK,,EST,Timmusk Kerda,830,high,2011/eyoc2011.htm
W16,31,OK,,GER,Nieke Patricia,835,high,2011/eyoc2011.htm
W16,32,OK,,GER,Winkler Leonore,835,high,2011/eyoc2011.htm
W16,33,OK,,ITA,Bulferi Maria Vittoria,842,high,2011/eyoc2011.htm
W16,34,OK,,UKR,Pelehovitch Valentyna,842,high,2011/eyoc2011.htm
W16,35,OK,,POR,Delgado Carolina,843,high,2011/eyoc2011.htm
W16,35,OK,,HUN,Szuromi Luca,843,high,2011/eyoc2011.htm
W16,37,OK,,FRA,Haberkorn Chloé,846,high,2011/eyoc2011.htm
W16,38,OK,,FRA,Clouard Lucile,848,high,2011/eyoc2011.htm
W16,39,OK,,POL,Haniszewska Angelika,852,high,2011/eyoc2011.htm
W16,40,OK,,DEN,Tripax Amalie,857,high,2011/eyoc2011.htm
W16,41,OK,,LAT,Zalaiskalna Annija,859,high,2011/eyoc2011.htm
W16,42,OK,,GBR,Hall Katherine,859,high,2011/eyoc2011.htm
W16,43,OK,,ROU,Tetisan Anca,864,high,2011/eyoc2011.htm
W16,44,OK,,ITA,Lucian Elisa,866,high,2011/eyoc2011.htm
W16,45,OK,,AUT,Gassner Anika,871,high,2011/eyoc2011.htm
W16,46,OK,,RUS,Korobeynik Daria,872,high,2011/eyoc2011.htm
W16,47,OK,,LAT,Pukite Laura,872,high,2011/eyoc2011.htm
W16,48,OK,,ISR,Gutman Adi,876,high,2011/eyoc2011.htm
W16,49,OK,,LAT,Brice Madara,876,high,2011/eyoc2011.htm
W16,50,OK,,RUS,Yakimenko Anna,880,high,2011/eyoc2011.htm
W16,51,OK,,SVK,Papugová Andrea,882,high,2011/eyoc2011.htm
W16,51,OK,,ESP,de Los Rios Silvia Martin,882,high,2011/eyoc2011.htm
W16,53,OK,,ISR,Maerkovitch Marina,882,high,2011/eyoc2011.htm
W16,54,OK,,AUT,Ramstein Nora,884,high,2011/eyoc2011.htm
W16,55,OK,,BUL,Dzhulieva Martina,887,high,2011/eyoc2011.htm
W16,56,OK,,HUN,Liszka Eszter,887,high,2011/eyoc2011.htm
W16,57,OK,,ITA,Sebastiani Gaia,892,high,2011/eyoc2011.htm
W16,58,OK,,GBR,McMillan Rhona,893,high,2011/eyoc2011.htm
W16,59,OK,,ESP,Alonso Marta Guijo,896,high,2011/eyoc2011.htm
W16,60,OK,,LTU,Domarkaité Giedré,896,high,2011/eyoc2011.htm
W16,61,OK,,UKR,Kuznetsova Nina,901,high,2011/eyoc2011.htm
W16,62,OK,,ITA,Patscheider Lia,912,high,2011/eyoc2011.htm
W16,63,OK,,SVK,Hošeková Vanda,918,high,2011/eyoc2011.htm
W16,64,OK,,AUT,Payer Elisa,925,high,2011/eyoc2011.htm
W16,65,OK,,IRL,Mc Cullough Cliona,932,high,2011/eyoc2011.htm
W16,66,OK,,IRL,Corbett Niamh,932,high,2011/eyoc2011.htm
W16,67,OK,,SVK,Papugová Martina,943,high,2011/eyoc2011.htm
W16,68,OK,,LTU,Aleksaité Eglé,964,high,2011/eyoc2011.htm
W16,69,OK,,ESP,Sansa Nuria Loro,986,high,2011/eyoc2011.htm
W16,70,OK,,BEL,Theys Charlotte,1000,high,2011/eyoc2011.htm
W16,71,OK,,SLO,Cufer Ana,1003,high,2011/eyoc2011.htm
W16,72,OK,,SLO,Foški Tajda,1008,high,2011/eyoc2011.htm
W16,73,OK,,ROU,Laszlo Alexandra Monika,1013,high,2011/eyoc2011.htm
W16,74,OK,,SLO,Jeram Nuša,1016,high,2011/eyoc2011.htm
W16,75,OK,,ROU,Sandulescu Sandra,1026,high,2011/eyoc2011.htm
W16,76,OK,,SRB,Jokanovic Sofija,1028,high,2011/eyoc2011.htm
W16,77,OK,,HUN,Faggyas Réka,1046,high,2011/eyoc2011.htm
W16,78,OK,,LTU,Lipeikyté Justina,1066,high,2011/eyoc2011.htm
W16,79,OK,,ISR,Hilla Ayali,1082,high,2011/eyoc2011.htm
W16,80,OK,,LTU,Gurviciüté Ieva,1201,high,2011/eyoc2011.htm
W18,1,OK,,RUS,Savkina Ekaterina,821,high,2011/eyoc2011.htm
W18,2,OK,,NOR,Fremstad Runa,837,high,2011/eyoc2011.htm
W18,3,OK,,BLR,Denisova Anastasia,839,high,2011/eyoc2011.htm
W18,4,OK,,SWE,Sandberg Frida,847,high,2011/eyoc2011.htm
W18,5,OK,,SWE,Forsgren Hilda,853,high,2011/eyoc2011.htm
W18,6,OK,,LTU,Ambrazaité Vesta,854,high,2011/eyoc2011.htm
W18,7,OK,,SWE,Erlandsson Johanna,857,high,2011/eyoc2011.htm
W18,8,OK,,GER,Lösch Susen,860,high,2011/eyoc2011.htm
W18,9,OK,,EST,Kaasiku Evely,861,high,2011/eyoc2011.htm
W18,10,OK,,FIN,Karvonen Sara,864,high,2011/eyoc2011.htm
W18,11,OK,,AUT,Nilsson-Simkovics Anna,868,high,2011/eyoc2011.htm
W18,12,OK,,SWE,Kollberg Olivia,868,high,2011/eyoc2011.htm
W18,13,OK,,UKR,Polishchuk Mariya,868,high,2011/eyoc2011.htm
W18,14,OK,,CZE,Šimková Johanka,869,high,2011/eyoc2011.htm
W18,15,OK,,SUI,Haas Fabienne,871,high,2011/eyoc2011.htm
W18,16,OK,,NOR,Nordbye Nybo Marie,874,high,2011/eyoc2011.htm
W18,17,OK,,CZE,Horcicková Vendula,875,high,2011/eyoc2011.htm
W18,18,OK,,BUL,Ivanova Kristina,876,high,2011/eyoc2011.htm
W18,19,OK,,POR,Alvarez Vera,881,high,2011/eyoc2011.htm
W18,20,OK,,SUI,Bertschinger Thalia,882,high,2011/eyoc2011.htm
W18,21,OK,,FIN,Skog Henna,883,high,2011/eyoc2011.htm
