class,rank,status,bib,country,name,time_seconds,confidence,source_file
M18,1,OK,9938,TUR,Muhammed Vehbi Yavuz Kara,5427,high,2017/results-long.pdf
M18,2,OK,9929,LTU,Balciunas Domantas,5489,high,2017/results-long.pdf
M18,3,OK,0033,SLO,Tjaz Gantar,5927,high,2017/results-long.pdf
M18,4,OK,9934,BEL,Crefcoeur Lievin,6022,high,2017/results-long.pdf
M18,5,OK,0035,ROU,Peter Knobloch-Esztergar,6166,high,2017/results-long.pdf
M18,6,OK,0012,SRB,Dusan Markovic,6172,high,2017/results-long.pdf
M18,7,OK,0025,POR,Pedro Lin Goncalves Moniz,6197,high,2017/results-long.pdf
M18,8,OK,9935,TUR,Samet Kossek,6672,high,2017/results-long.pdf
W16,1,OK,0268,SVK,Lubka Weissova,2757,high,2017/results-long.pdf
W16,2,OK,0257,AUT,Maya Kastner,2762,high,2017/results-long.pdf
W16,3,OK,0260,LAT,Anna Emilija Suta,2765,high,2017/results-long.pdf
W16,4,OK,0274,FRA,Lucie Lataste,2767,high,2017/results-long.pdf
W16,5,OK,0297,BUL,Evangelina Dyaksova,2776,high,2017/results-long.pdf
W16,6,OK,0160,AUT,Zeiner Dora,2798,high,2017/results-long.pdf
W16,7,OK,0168,SUI,Sarina Zullig,2811,high,2017/results-long.pdf
W16,8,OK,0165,HUN,Dominika Mero,2827,high,2017/results-long.pdf
W16,9,OK,0174,LTU,Ugne Liegute,2830,high,2017/results-long.pdf
W16,10,OK,0159,FIN,Ida Haapala,2861,high,2017/results-long.pdf
W16,11,OK,0158,POL,Agnieszka Mazurek,2863,high,2017/results-long.pdf
W16,12,OK,0290,ESP,Nerea Gonzalez Pena,2866,high,2017/results-long.pdf
W16,13,OK,0265,CZE,Tereza Chrastova,2911,high,2017/results-long.pdf
W16,14,OK,0158,AUT,Marie Maier,2920,high,2017/results-long.pdf
W16,15,OK,0381,ROU,Daria Galateanu,2929,high,2017/results-long.pdf
W16,16,OK,0267,SUI,Annick Meister,2937,high,2017/results-long.pdf
W16,17,OK,0292,ESP,Lucia Misas Bernardino,2949,high,2017/results-long.pdf
W16,18,OK,0251,RUS,Anna Klementyeva,2989,high,2017/results-long.pdf
W16,19,OK,0261,LAT,Aija Denija Trezina,3006,high,2017/results-long.pdf
W16,20,OK,0266,SUI,Sanna Hotz,3032,high,2017/results-long.pdf
W16,21,OK,0164,CZE,Katerina Dolejsi,3040,high,2017/results-long.pdf
W16,22,OK,0195,EST,Lorely Korvel,3065,high,2017/results-long.pdf
W16,23,OK,0199,UKR,Trokhymchuk Yuliia,3068,high,2017/results-long.pdf
W16,24,OK,0180,DEN,Alberte Kaae Nielsen,3086,high,2017/results-long.pdf
W16,25,OK,0158,LAT,Agnija Caune,3091,high,2017/results-long.pdf
W16,26,OK,0175,LTU,Juste Skaisgiryte,3111,high,2017/results-long.pdf
W16,27,OK,0264,HUN,Kishanti Petra,3116,high,2017/results-long.pdf
W16,28,OK,0363,HUN,Boglarka Czako,3124,high,2017/results-long.pdf
W16,29,OK,0293,EST,Siiri Talts,3144,high,2017/results-long.pdf
W16,30,OK,0282,BEL,Laurence Defraigne,3151,high,2017/results-long.pdf
W16,31,OK,0296,BUL,Niya Georgieva,3154,high,2017/results-long.pdf
W16,32,OK,0151,GBR,Eilidh Campbell,3157,high,2017/results-long.pdf
W16,33,OK,0177,FRA,Perrine Toussaint,3177,high,2017/results-long.pdf
W16,34,OK,0281,DEN,Nanna Lysemose Poulsen,3215,high,2017/results-long.pdf
W16,35,OK,0294,EST,Johanna Laanoja,3216,high,2017/results-long.pdf
W16,36,OK,0263,CZE,Katerina Blazkova,3265,high,2017/results-long.pdf
W16,37,OK,0283,BEL,Kato Keuppens,3276,high,2017/results-long.pdf
W16,38,OK,0355,POL,Julia Krempinska,3288,high,2017/results-long.pdf
W16,39,OK,0271,SVK,Dorota Smelikova,3309,high,2017/results-long.pdf
W16,40,OK,0299,RUS,Sopova Nina,3333,high,2017/results-long.pdf
W16,41,OK,0197,UKR,Alina Myroniuk,3361,high,2017/results-long.pdf
W16,42,OK,0176,FRA,Pauly Lilou,3373,high,2017/results-long.pdf
W16,43,OK,0159,AUT,Tiefenboeck Rita,3375,high,2017/results-long.pdf
W16,44,OK,0276,IRL,Aoife O'Sullivan,3377,high,2017/results-long.pdf
W16,45,OK,0180,SLO,Zala Zavrl,3388,high,2017/results-long.pdf
W16,46,OK,0176,LTU,Juste Skaisgiryte,3390,high,2017/results-long.pdf
W16,47,OK,0257,POL,Zuzanna Gielec,3406,high,2017/results-long.pdf
W16,48,OK,0166,CZE,Anna Kochova,3443,high,2017/results-long.pdf
W16,49,OK,0256,POL,Block Amelia,3457,high,2017/results-long.pdf
W16,50,OK,0259,LAT,Kristine Brunere,3490,high,2017/results-long.pdf
W16,51,OK,0293,GER,Katrin Hertel,3493,high,2017/results-long.pdf
W16,52,OK,0275,FRA,Romane Lesquer,3529,high,2017/results-long.pdf
W16,53,OK,0190,GER,Ines Schikora,3703,high,2017/results-long.pdf
W16,54,OK,0193,ESP,Ana Defez Cernicharo,3707,high,2017/results-long.pdf
W16,55,OK,0191,ESP,Raquel Marquez Martin-Tes,3739,high,2017/results-long.pdf
W16,56,OK,0270,SVK,Tamara Miklusova,3767,high,2017/results-long.pdf
W16,57,OK,0251,UKR,Feia Tsyvilska,3781,high,2017/results-long.pdf
W16,58,OK,0161,SRB,Lenka Ciric,3787,high,2017/results-long.pdf
W16,59,OK,0282,ROU,Judit Divin,3824,high,2017/results-long.pdf
W16,60,OK,0197,ITA,Anna Pradel,3901,high,2017/results-long.pdf
W16,61,OK,0291,GER,Lina Buchberger,3948,high,2017/results-long.pdf
W16,62,OK,0292,GER,Jasmin Hertel,4038,high,2017/results-long.pdf
W16,63,OK,0198,UKR,Polina Surkova,4123,high,2017/results-long.pdf
W16,64,OK,0184,TUR,Tuana Bozkurt,4228,high,2017/results-long.pdf
W16,65,OK,0292,EST,Anita Laanejoe,4277,high,2017/results-long.pdf
W16,66,OK,0371,POR,Ana Goncalves Pacheco,4400,high,2017/results-long.pdf
W16,67,OK,0172,POR,Joana Filipa Rocha Branco,4413,high,2017/results-long.pdf
W16,68,OK,0170,BLR,Karyna Krauchanka,4425,high,2017/results-long.pdf
W16,69,OK,0183,ROU,Ghit Denisa,4429,high,2017/results-long.pdf
W16,70,OK,0469,SVK,Ema Havlikova,4473,high,2017/results-long.pdf
W16,71,OK,0477,LTU,Ugne Skucaite,4552,high,2017/results-long.pdf
W16,72,OK,0171,BLR,Darya Vankevich,4605,high,2017/results-long.pdf
W16,73,OK,0181,TUR,Melisa Altinci,4721,high,2017/results-long.pdf
W16,74,OK,0277,IRL,Cliodhna Donaghy,5077,high,2017/results-long.pdf
W16,75,OK,0182,DEN,Celina Bregensoe,5082,high,2017/results-long.pdf
W16,76,OK,0195,ITA,Annarita Scalzotto,5283,high,2017/results-long.pdf
W16,77,OK,0372,BLR,Alesia Dzichkouskaya,5490,high,2017/results-long.pdf
W16,78,OK,0183,TUR,Yaren Yilmaz,5611,high,2017/results-long.pdf
W16,79,OK,0178,IRL,Rachel Collins,5645,high,2017/results-long.pdf
W16,80,OK,0184,ROU,Teca Alina,6161,high,2017/results-long.pdf
W18,1,OK,0066,FIN,Lotta Eerola,3332,high,2017/results-long.pdf
W18,2,OK,0067,FIN,Inka Nurminen,3335,high,2017/results-long.pdf
W18,3,OK,0072,CZE,Jana Peterova,3344,high,2017/results-long.pdf
W18,4,OK,0083,FRA,Alina Palcau,3379,high,2017/results-long.pdf
W18,5,OK,9957,GBR,Lucy Haines,3386,high,2017/results-long.pdf
W18,6,OK,0099,NOR,Hanne Vassend,3455,high,2017/results-long.pdf
W18,7,OK,0055,BUL,Andreya Dyaksova,3492,high,2017/results-long.pdf
W18,8,OK,9978,SVK,Tereza Miklusova,3506,high,2017/results-long.pdf
W18,9,OK,9969,FIN,Jasmiina Rantala,3547,high,2017/results-long.pdf
W18,10,OK,9971,HUN,Vanda Vekony,3553,high,2017/results-long.pdf
W18,11,OK,9965,POL,Adrianna Biederman,3554,high,2017/results-long.pdf
W18,12,OK,9966,AUT,Tina Tiefenboeck,3561,high,2017/results-long.pdf
W18,13,OK,9973,CZE,Jana Semradova,3592,high,2017/results-long.pdf
W18,14,OK,0065,AUT,Ylvi Kastner,3618,high,2017/results-long.pdf
W18,15,OK,0056,RUS,Irina Lazareva,3629,high,2017/results-long.pdf
W18,16,OK,0082,FRA,Zoe Villar,3636,high,2017/results-long.pdf
W18,17,OK,0053,EST,Teele Telgma,3639,high,2017/results-long.pdf
W18,18,OK,0055,GBR,Grace Molloy,3645,high,2017/results-long.pdf
W18,19,OK,9971,CZE,Marketa Firesova,3662,high,2017/results-long.pdf
W18,20,OK,9967,AUT,Rosa Trummer,3689,high,2017/results-long.pdf
W18,21,OK,0072,HUN,Hanga Szuromi,3696,high,2017/results-long.pdf
W18,22,OK,9956,GBR,Laura King,3701,high,2017/results-long.pdf
W18,23,OK,0084,FRA,Eloise Chatelain,3704,high,2017/results-long.pdf
W18,24,OK,0059,SWE,Johanna Kaellvik Leufven,3710,high,2017/results-long.pdf
W18,25,OK,0089,ROU,Galateanu Adela,3747,high,2017/results-long.pdf
W18,26,OK,9974,CZE,Eliska Sieglova,3748,high,2017/results-long.pdf
