class,rank,status,country,team,total_time_seconds,leg1_name,leg1_time_seconds,leg2_name,leg2_time_seconds,leg3_name,leg3_time_seconds,confidence,source_file
M16,1,OK,FRA,France,5483,Vuitton Julien,1832,Andrieux Quentin,1848,Becaert Antoine,1803,high,2017/results-relay.pdf
M16,2,OK,HUN,Hungary,5521,Szabo Marcell,1784,Bujdoso Zoltan,1881,Jonas Ferenc,1856,high,2017/results-relay.pdf
M16,3,OK,CZE,Czech Republic,5622,Ondrej Metelka,1832,Tomas Janovsky,2086,Jan Gajda,1704,high,2017/results-relay.pdf
M16,4,OK,GER,Germany,5757,Anton Silier,1785,Martin Scheuermann,1940,Matti Bruns,2032,high,2017/results-relay.pdf
M16,5,OK,DEN,Denmark,5786,Soren Thrane Odum,1779,Anton Werner Lohndo,2035,Morten Örnhagen Jor,1972,high,2017/results-relay.pdf
M16,6,OK,SUI,Switzerland,5940,Sven Wey,2032,Janis Hutzli,1933,Manuele Ren,1975,high,2017/results-relay.pdf
M16,7,OK,ESP,Spain,6068,Florencio Garcia Go,1994,Gustav Wiren Gonzal,2039,Alvaro Garcia Berna,2035,high,2017/results-relay.pdf
M16,8,OK,BUL,Bulgaria,6088,Mihail Mihaylov,2034,Martin Yordanov,2141,Valentin Neykov,1913,high,2017/results-relay.pdf
M16,9,OK,RUS,Russian Federation,6156,Stepanov Dmitrii,2061,Sorokin Daniil,2347,Fomin Daniil,1748,high,2017/results-relay.pdf
M16,10,OK,LAT,Latvia,6297,Davis Solmanis,2074,Ralfs Janis Eizvert,2105,Pauls Alberings,2118,high,2017/results-relay.pdf
M16,11,OK,AUT,Austria,6427,Wolfram Jakob,1805,Jandl Florian,2371,Novak Lukas,2251,high,2017/results-relay.pdf
M16,12,OK,SVK,Slovakia,6432,Michal Kurak,2223,Daniel Pompura,2076,Medard Feder,2133,high,2017/results-relay.pdf
M16,13,OK,BEL,Belgium,6518,Arno Simon,2063,Amerijckx Cedric,2265,Thiels Liam,2190,high,2017/results-relay.pdf
M16,14,OK,POL,Poland,6788,Michal Pierzchala,1982,Bruno Deredos,2417,Krystian Petersburs,2389,high,2017/results-relay.pdf
