class,rank,status,country,team,total_time_seconds,leg1_name,leg1_time_seconds,leg2_name,leg2_time_seconds,leg3_name,leg3_time_seconds,confidence,source_file
M16,1,OK,FIN,FIN,5314,Kasper Ekonoja,1744,Joakim Savinainen,1744,Veeti Viippola,1826,high,2025/results-relay.pdf
M16,2,OK,SUI,SUI,5332,Taavi Caboussat,1748,Linus Pusterla,1891,Maxim Bertschi,1693,high,2025/results-relay.pdf
M16,3,OK,CZE,CZE,5340,Matej Cecka,1789,Mateusz Mokrosz,1817,Matous Dittrich,1734,high,2025/results-relay.pdf
M16,4,OK,LAT,LAT,5472,Jekabs Graudums,1752,Miks Graudums,1887,Lars Anders Luiks,1833,high,2025/results-relay.pdf
M16,5,OK,LTU,LTU,5494,Aleksas Murenas,1846,Troj Gunnarsson,1697,Tijus Jokubauskis,1951,high,2025/results-relay.pdf
M16,6,OK,ESP,ESP,5513,Daniel Sanz,1850,Carlit Tolkko Valledor,1919,Ekain Fernandez Garcia,1744,high,2025/results-relay.pdf
M16,7,OK,DEN,DEN,5615,Emil Fredberg,1843,Rune Cederberg,1999,Anton Kupriyanov Hviid,1773,high,2025/results-relay.pdf
M16,8,OK,FRA,FRA,5680,Titouan Andrieux,1752,Noe Chezeau,2074,Tom Lemercier,1854,high,2025/results-relay.pdf
M16,9,OK,GER,GER,5884,Jacob Imbsweiler,1854,Daniel Schmidt,1752,Julian Doetsch,2278,high,2025/results-relay.pdf
M16,10,OK,BEL,BEL,6006,Nathan Jansen,1797,Daan Cools,2286,Thor Wolles,1923,high,2025/results-relay.pdf
M16,11,OK,POL,POL,6092,Antoni Pachnik,1745,Witold Lemanczyk,2342,Szymon Ladomirski,2005,high,2025/results-relay.pdf
M16,12,OK,EST,EST,6745,Henri Kersna,2571,Erik Marten Zernant,1905,Andres Keernik,2269,high,2025/results-relay.pdf
M16,13,OK,BUL,BUL,6830,Atanas Raykov,2515,Aleks Sarhachev,2226,Hristo Dimov,2089,high,2025/results-relay.pdf
M16,14,OK,GBR,GBR,7062,Oliver Duncan,2322,Lawrence Hodgson,2697,Marcus Perry,2043,high,2025/results-relay.pdf
