class,rank,status,country,team,total_time_seconds,leg1_name,leg1_time_seconds,leg2_name,leg2_time_seconds,leg3_name,leg3_time_seconds,confidence,source_file
M16,1,OK,CZE,Czech Republic,4880,Jakub Chaloupsky,1581,Lukas Vitebsky,1694,Simon Marecek,1605,high,2018/results-relay.pdf
M16,2,OK,FIN,Finland,4960,Aaro Ojala,1723,Aarni Ronkainen,1676,Touko Seppa,1561,high,2018/results-relay.pdf
M16,3,OK,FRA,France,5070,Basile Basset,1557,Thomas Radondy,1722,Romain Discher,1790,high,2018/results-relay.pdf
M16,4,OK,SUI,Switzerland,5163,Dominic Schacher,1708,Andrin Sutter,1845,Janis Hutzli,1610,high,2018/results-relay.pdf
M16,5,OK,HUN,Hungary,5198,Peter Gonczi,1738,Aron Szuromi,1792,Zoltan Bujdoso,1668,high,2018/results-relay.pdf
M16,6,OK,RUS,Russian Federati Russian Feder,5234,Dmitrii Stepanov,1696,Daniil Sorokin,1870,Daniil Fomin,1668,high,2018/results-relay.pdf
M16,7,OK,ESP,Spain,5377,Florencio Garcia,1713,Pablo Ferrando Galan,1995,Gustav Wiren Gonzalez,1669,high,2018/results-relay.pdf
M16,8,OK,ITA,Italy,5491,Marco Orler,1701,Lorenzo Brunet,1860,Ilian Angeli,1930,high,2018/results-relay.pdf
M16,9,OK,DEN,Denmark,5645,Jonas Gabs,1698,Oscar David Brom Jensen,1809,Theis Munktved,2138,high,2018/results-relay.pdf
M16,10,OK,BEL,Belgium,5675,Liam Thiels,1566,Jonas Jansen,2264,Antoine Mattart,1844,high,2018/results-relay.pdf
M16,11,OK,LAT,Latvia,5740,Ralfs Janis Eizvertins,1710,Jekabs Locmelis,2051,Karlis Stradins,1979,high,2018/results-relay.pdf
M16,12,OK,LTU,Lithuania,5891,Andojas Lapinskas,1896,Tadas Dementavicius,2131,Augusts Velde,1864,high,2018/results-relay.pdf
M16,13,OK,ISR,Israel,6119,Rotem Yasur,1742,Nadav Nussbaum,2537,2018 Relay Mon 02-Jul-18 Eyoc,1308,high,2018/results-relay.pdf
M16,14,OK,BUL,Bulgaria,6123,Nikolay Nedkov,1944,Preslav Shterev,2175,Aleksandar Ivanov,2004,high,2018/results-relay.pdf
M16,15,OK,POL,Poland,6140,Jan Sztranek,2072,Mateusz Kula,1971,Grzegorz Porzycz,2097,high,2018/results-relay.pdf
M16,16,OK,EST,Estonia,6432,Ragnar Rooba,1976,Jurgen Joonas,1791,Samuel Kolsar,2665,high,2018/results-relay.pdf
M16,17,OK,ROU,Romania,6839,Alexandru Catana,1709,Nandor Csis,2757,Catalin Vadean,2373,high,2018/results-relay.pdf
M16,18,OK,POR,Portugal,7505,Vasco Mendes,2088,Rodrigo Oliveira,2957,Pedro Peralta,2460,high,2018/results-relay.pdf
M16,19,OK,IRL,Ireland,8777,Peter Reed,2619,Cliodhna Donaghy,3650,Liam Cotter,2508,high,2018/results-relay.pdf
M16,20,OK,TUR,Turkey,8783,Umit Ustundag,2236,Ahmet Ozbey,2844,Ugur Ustundag,3703,high,2018/results-relay.pdf
M18,1,OK,FRA,France,5084,Julien Vuitton,1618,Kylian Wymer,1682,Quentin Andrieux,1783,high,2018/results-relay.pdf
M18,2,OK,FIN,Finland,5169,Teemu Oksanen,1864,Leo Matinheikki,1717,Mikko Eerola,1587,high,2018/results-relay.pdf
M18,3,OK,NOR,Norway,5182,Niels Christian Hellerud,1637,Henrik Fredrikse Aas,1645,Sander Arntzen,1899,high,2018/results-relay.pdf
