class,rank,status,country,team,total_time_seconds,leg1_name,leg1_time_seconds,leg2_name,leg2_time_seconds,leg3_name,leg3_time_seconds,confidence,source_file
W16,1,OK,CZE,Czechia,5354,Jindra Hlavova,1764,Michaela Prochazkova,1747,Ivana Bochenkova,1843,high,2005/eyoc2005.htm
W16,2,OK,SUI,Switzerland,5702,Sophie Tritschler,1795,Isabelle Feer,1919,Bettina Aebi,1988,high,2005/eyoc2005.htm
W16,3,OK,GER,Germany,5845,Sandra Juras,1793,Marie-Christine Bohm,1940,Anne Fritsche,2112,high,2005/eyoc2005.htm
W16,4,OK,LTU,Lithuania,6038,Tekle Gvildyte,1957,Eidvile Bagdonaite,2235,Ausra Miksyte,1846,high,2005/eyoc2005.htm
W16,5,OK,POL,Poland,6313,Magdalena Helminiak,1854,Urszula Morawska,2570,Monika Gajda,1889,high,2005/eyoc2005.htm
W16,6,OK,UKR,Ukraine,6370,Inna Blagodarna,2101,Oleksand Parkhomenko,2264,Viktoriya Benyk,2005,high,2005/eyoc2005.htm
W16,7,OK,LAT,Latvia,6415,Laura Vike,2108,Marita Freimane,2249,Vieda Lusa,2058,high,2005/eyoc2005.htm
W16,8,OK,FRA,France,6445,Marine Leloup,1768,Ambre Gaillard,2336,Perrine Obsetard,2341,high,2005/eyoc2005.htm
W16,9,OK,ITA,Italy,6533,Maria Prouss,2176,Jutta Torrgler,2344,Nicole Scalet,2013,high,2005/eyoc2005.htm
W16,10,OK,HUN,Hungary,6874,Regina Bertoti,2244,Brigitta Koos,2097,Vanda Zsigmond,2533,high,2005/eyoc2005.htm
W16,11,OK,AUT,Austria,7085,Heike Spiegel,2848,Carina Kradischnig,2261,Elisa Elstner,1976,high,2005/eyoc2005.htm
W16,12,OK,BUL,Bulgaria,7121,Viktor Keremidchieva,2985,Simona Danailova,2152,Greta Borisova,1984,high,2005/eyoc2005.htm
W16,13,OK,ESP,Spain,7957,Luisa Rico Mira,2086,Serrallonga Arques A,2805,Maria Peris Camus,3066,high,2005/eyoc2005.htm
W16,14,OK,SVK,Slovakia,8197,Ivana Korimova,2460,Dasa Mihalova,2347,Zuzana Belesova,3390,high,2005/eyoc2005.htm
W16,15,OK,ROU,Romania,8288,Madalina Barsan,4084,Andreea Tudoran,2256,Adina Popescu,1948,high,2005/eyoc2005.htm
W16,16,OK,POR,Portugal,9072,Joana Costa,3061,Isabel Sa,3278,Mariana Moreira,2733,high,2005/eyoc2005.htm
W18,1,OK,CZE,Czechia,6222,Sarka Svobodna,2074,Lucie Machutova,2052,Monika Dolezalova,2096,high,2005/eyoc2005.htm
W18,2,OK,POL,Poland,6570,Alicja Ewiak,2296,Natalia Najman,2080,Iwona Wicha,2194,high,2005/eyoc2005.htm
W18,3,OK,RUS,Russia,6618,Tatiana Rozova,2230,Tatiana Mendel,2346,Nina Oleynichenkova,2042,high,2005/eyoc2005.htm
W18,4,OK,SUI,Switzerland,6667,Sabine Hauswirth,2228,Stefanie Steinemann,2215,Judith Wyder,2224,high,2005/eyoc2005.htm
W18,5,OK,HUN,Hungary,6796,Ivett Hrenko,2142,Eszter Ory,2304,Dorottya Peley,2350,high,2005/eyoc2005.htm
W18,6,OK,UKR,Ukraine,6805,Tetiana Zhytsova,2228,Olena Struhalova,2204,Maryana Kytsman,2373,high,2005/eyoc2005.htm
W18,7,OK,BLR,Belarus,7071,Hanna Batsian,2251,Nastsia Klapouskaya,2476,Alena Pechur,2344,high,2005/eyoc2005.htm
W18,8,OK,AUT,Austria,7077,Ursula Kadan,2223,Agnes Harreiter,2588,Stephanie Killmann,2266,high,2005/eyoc2005.htm
W18,9,OK,FRA,France,7080,Lea Molinier,2150,Gaelle Barlet,2495,Cecile Papillon,2435,high,2005/eyoc2005.htm
W18,10,OK,EST,Estonia,7124,Kati Rooni,2230,Eleri Hirv,2371,Ly Trei,2523,high,2005/eyoc2005.htm
W18,11,OK,GBR,UK,7165,Tessa Hill,2234,Rose Hodkinson,2562,Ruth Holmes,2369,high,2005/eyoc2005.htm
W18,12,OK,LAT,Latvia,7385,Janeta Turka,2533,Anna Bralite,2402,Krista Mihailova,2450,high,2005/eyoc2005.htm
W18,13,OK,LTU,Lithuania,7511,Viktorija Zacharenko,2459,Gabija Razaityte,2755,Ugne Grigonyte,2297,high,2005/eyoc2005.htm
W18,14,OK,SVK,Slovakia,7821,Jana Krsiakova,2241,Renata Barcikova,2789,Erika Hlavacikova,2791,high,2005/eyoc2005.htm
W18,15,OK,ESP,Spain,7903,Alicia Gil Sanchez,2448,Carl Guillen Escriba,2651,Ona Rafols Perramon,2804,high,2005/eyoc2005.htm
W18,16,OK,BUL,Bulgaria,8264,Evelina Bombalova,2515,Emanuela Kamenarova,2975,Zlatimira Zhecheva,2774,high,2005/eyoc2005.htm
W18,17,OK,ITA,Italy,8537,Federica Maggioni,2406,Giulia Cunico,3119,Federica Memo,3012,high,2005/eyoc2005.htm
W18,18,OK,SLO,Slovenia,11128,Jerica Bernik,3727,Tanja Pretnar,3821,Diana Golob-Mrak,3580,high,2005/eyoc2005.htm
M16,1,OK,SUI,Switzerland,6887,Matthias Kyburz,2308,Philipp Sauter,2288,Martin Hubmann,2291,high,2005/eyoc2005.htm
M16,2,OK,CZE,Czechia,7223,Daniel Hajek,2454,Matej Klusacek,2338,Jakub Zimmerman,2431,high,2005/eyoc2005.htm
M16,3,OK,HUN,Hungary,7404,Gabor Turcsan,2307,Marton Mets,2548,Gergely Gyorgyi-Ambro,2549,high,2005/eyoc2005.htm
M16,4,OK,LAT,Latvia,7628,Arturs Paulins,2484,Ivars Ziemelis,2666,Andris Jubelis,2478,high,2005/eyoc2005.htm
M16,5,OK,UKR,Ukraine,7740,Roman Kuzyk,2894,Sergiy Ruzhevych,2360,Oleksiy Asmolov,2486,high,2005/eyoc2005.htm
M16,6,OK,BLR,Belarus,7761,Yury Tambasau,2445,Yauheni Dzedavets,2773,Siarhei Fedatsenka,2543,high,2005/eyoc2005.htm
M16,7,OK,FRA,France,8089,Theo Fleurent,2615,Mathieu Ringot,2937,Juste Raimbault,2537,high,2005/eyoc2005.htm
M16,8,OK,GER,Germany,8135,Fabian Kempe,3254,Bjarne Friedrichs,2483,Christoph Brandt,2398,high,2005/eyoc2005.htm
M16,9,OK,POL,Poland,8168,Maciej Hewelt,3101,Jacek Morawski,2518,Maciej Jasinski,2549,high,2005/eyoc2005.htm
M16,10,OK,SVK,Slovakia,8197,Miroslav Papuga,2942,Rastislav Olhava,2674,Martin Majlath,2581,high,2005/eyoc2005.htm
M16,11,OK,AUT,Austria,8349,Joachim Bosina,2749,Tobias Guggenberger,2696,Erik Simkovics,2904,high,2005/eyoc2005.htm
M16,12,OK,ROU,Romania,8413,Andrei Otteanu,2941,Benedek Vaszi,2722,Razvan Lupa,2750,high,2005/eyoc2005.htm
M16,13,OK,LTU,Lithuania,8452,Tomas Kokanka,2725,Aivaras Mockus,3022,Vytautas Pranckaitis,2705,high,2005/eyoc2005.htm
M16,14,OK,ITA,Italy,9153,Michael Sbrizzi,3126,Roberto Dallavalle,2860,Luca Bignami,3167,high,2005/eyoc2005.htm
M16,15,OK,BUL,Bulgaria,9227,Ognyan Grozdanov,3132,Ilkmen Topchu,3162,Viktor Merdjanov,2933,high,2005/eyoc2005.htm
M16,16,OK,SLO,Slovenia,12479,Blaz Grah,3789,Jure Zmrzlikar,3909,Janij Oblak,4781,high,2005/eyoc2005.htm
M18,1,OK,CZE,Czechia,7821,Stepan Kodeda,2518,Ales Maly,2707,Stepan Holas,2596,high,2005/eyoc2005.htm
M18,2,OK,HUN,Hungary,8129,Andras Szabo,2656,Mate Kerenyi,2767,Zsolt Lenkei,2706,high,2005/eyoc2005.htm
M18,3,OK,GER,Germany,8196,Soren Losch,2754,Sebastian Bergmann,2744,Philipp Muller,2698,high,2005/eyoc2005.htm
M18,4,OK,RUS,Russia,8208,Anton Ivanov,2589,Alexandr Seleznev,2822,Vladimir Alekhin,2797,high,2005/eyoc2005.htm
M18,5,OK,SVK,Slovakia,8501,Rastislav Szabo,2940,Martin Mazur,3009,Michal Krajcik,2552,high,2005/eyoc2005.htm
M18,6,OK,LAT,Latvia,8647,Margers Kietis,2821,Anatolijs Tarasovs,2751,Kalvis Mihailovs,3075,high,2005/eyoc2005.htm
M18,7,OK,SUI,Switzerland,8690,Christoph Rathgeb,2937,Simon Hodler,3075,Jerome Kaser,2678,high,2005/eyoc2005.htm
M18,8,OK,ITA,Italy,8697,Luca Dallavalle,2756,Jonas Rass,2836,Andrea Seppi,3105,high,2005/eyoc2005.htm
M18,9,OK,POL,Poland,8869,Karol Myszkowski,2935,Mateusz Wenslaw,3083,Kamil Wlodarczyk,2851,high,2005/eyoc2005.htm
M18,10,OK,ROU,Romania,8912,Zoltan Szep,2942,Florin Bunea,2976,Simion Suciu,2994,high,2005/eyoc2005.htm
M18,11,OK,EST,Estonia,9125,Martin Simpson,3260,Lauri Tammemae,2832,Timo Sild,3033,high,2005/eyoc2005.htm
M18,12,OK,AUT,Austria,9154,Raphael Mallweger,3475,Wolfgang Siegert,2680,Christia Wartbichler,2999,high,2005/eyoc2005.htm
M18,13,OK,LTU,Lithuania,9309,Giedriu Vidzikauskas,3050,Andrejus Gerasimovas,3231,Jonas Gvildys,3028,high,2005/eyoc2005.htm
M18,14,OK,BUL,Bulgaria,9624,Ivan Sirakov,3479,Petar Doganov,3280,Stanimir Belomazhev,2865,high,2005/eyoc2005.htm
M18,15,OK,ESP,Spain,10181,Dani Portal Gordillo,2842,Alfr Renzullo Marfil,3946,Fra Navarro Cutillas,3393,high,2005/eyoc2005.htm
M18,16,OK,BLR,Belarus,10280,Vitali Chorny,3294,Mikhail Makeyenka,3589,Pavel Vaskovich,3397,high,2005/eyoc2005.htm
M18,17,OK,FRA,France,10400,Kevin Virefleau,3573,Emilien Schiavo,3841,Bastien Mengin,2986,high,2005/eyoc2005.htm
M18,18,OK,POR,Portugal,10431,Miguel Silva,3731,Tiago Pires,3540,Nelson Graca,3160,high,2005/eyoc2005.htm
M18,19,OK,IRL,Ireland,12167,Nick Simonin,3466,Ruairi Short,4477,Colm Hill,4224,high,2005/eyoc2005.htm
M18,20,OK,SLO,Slovenia,18893,Nace Kranjc,6840,Aleksander Strnad,6334,Primoz Sega,5719,high,2005/eyoc2005.htm
