class,rank,status,bib,country,name,time_seconds,confidence,source_file
W16,1,OK,,BLR,Hanna Rudakouskaya,2373,high,2007/eyoc2007.htm
W16,2,OK,,CZE,Adelka Indrakova,2449,high,2007/eyoc2007.htm
W16,3,OK,,RUS,Tatyiana Repina,2487,high,2007/eyoc2007.htm
W16,4,OK,,DEN,Camilla Sogaard,2493,high,2007/eyoc2007.htm
W16,5,OK,,SUI,Mirjam Pfister,2528,high,2007/eyoc2007.htm
W16,6,OK,,LTU,Vesta Ambrazaite,2546,high,2007/eyoc2007.htm
W16,7,OK,,CZE,Tereza Novotna,2589,high,2007/eyoc2007.htm
W16,8,OK,,CZE,Klara Petraekova,2595,high,2007/eyoc2007.htm
W16,9,OK,,EST,Britta Panker,2644,high,2007/eyoc2007.htm
W16,10,OK,,AUT,Julia Bauer,2674,high,2007/eyoc2007.htm
W16,11,OK,,LAT,Sabine Tilta,2677,high,2007/eyoc2007.htm
W16,12,OK,,RUS,Natalia Kozlova,2689,high,2007/eyoc2007.htm
W16,13,OK,,ESP,Violeta Feliciano Sanjuan,2753,high,2007/eyoc2007.htm
W16,14,OK,,GER,Maria Lange,2761,high,2007/eyoc2007.htm
W16,15,OK,,FRA,Alizee Gaillard,2767,high,2007/eyoc2007.htm
W16,16,OK,,LAT,Ieva Ruksane,2782,high,2007/eyoc2007.htm
W16,17,OK,,GER,Johanna Schmidt,2801,high,2007/eyoc2007.htm
W16,18,OK,,LTU,Joana Cesnaite,2806,high,2007/eyoc2007.htm
W16,19,OK,,GER,Josephine Greiner,2808,high,2007/eyoc2007.htm
W16,20,OK,,POL,Jolanta Kolosinska,2810,high,2007/eyoc2007.htm
W16,21,OK,,ROU,Andra Anghel,2812,high,2007/eyoc2007.htm
W16,22,OK,,HUN,Reka Toth,2843,high,2007/eyoc2007.htm
W16,23,OK,,SUI,Sarina Jenzer,2844,high,2007/eyoc2007.htm
W16,24,OK,,SUI,Elena Roos,2850,high,2007/eyoc2007.htm
W16,25,OK,,HUN,Brigitta Koos,2860,high,2007/eyoc2007.htm
W16,26,OK,,POL,Ada Kobusinska,2868,high,2007/eyoc2007.htm
W16,26,OK,,CZE,Zuzana Kubatova,2868,high,2007/eyoc2007.htm
W16,28,OK,,ITA,Carlotta Scalet,2872,high,2007/eyoc2007.htm
W16,29,OK,,AUT,Clarissa Kradischnig,2884,high,2007/eyoc2007.htm
W16,30,OK,,LTU,Egle Dambrauskaite,2895,high,2007/eyoc2007.htm
W16,31,OK,,POR,Mariana Moreira,2905,high,2007/eyoc2007.htm
W16,32,OK,,FRA,Claire Sandevoir,2918,high,2007/eyoc2007.htm
W16,33,OK,,BUL,Iva Agova,2933,high,2007/eyoc2007.htm
W16,34,OK,,EST,Jane Lauter,2941,high,2007/eyoc2007.htm
W16,35,OK,,UKR,Olena Sliusareva,2952,high,2007/eyoc2007.htm
W16,36,OK,,DEN,Emma Klingenberg,3019,high,2007/eyoc2007.htm
W16,37,OK,,BLR,Maryia Aleksiayonak,3029,high,2007/eyoc2007.htm
