class,rank,status,country,team,total_time_seconds,leg1_name,leg1_time_seconds,leg2_name,leg2_time_seconds,leg3_name,leg3_time_seconds,confidence,source_file
M18,1,OK,NOR,Norway,6155,Alfred Bjoerneroed,2006,Brage Takle,2119,Martin Vehus Skjerve,2030,high,2021/results-relay.pdf
M18,2,OK,CZE,Czech Republic,6189,Vit Cech,2004,Lukas Vitebsky,2162,Martin Simsa,2023,high,2021/results-relay.pdf
M18,3,OK,LTU,Lithuania,6434,Tadas Dementavicius,1945,Adomas Casas,2434,Andojas Lapinskas,2055,high,2021/results-relay.pdf
M18,4,OK,EST,Estonia,6462,Mihkel Mahla,2339,Jurgen Joonas,2132,Olle Ilmar Jaama,1991,high,2021/results-relay.pdf
M18,5,OK,RUS,Russia,6463,Stepan Aleksandrov,2455,Ilya Malygin,2120,Mark Tutynin,1888,high,2021/results-relay.pdf
M18,6,OK,FIN,Finland,6546,Riku Grohn,2346,Santeri Kirjavainen,2126,Aarni Ronkainen,2074,high,2021/results-relay.pdf
M18,7,OK,LAT,Latvia,7311,Gustavs Stana,2771,Austris Kalnins,2060,Matiss Saulite,2480,high,2021/results-relay.pdf
M18,8,OK,SVK,Slovakia,7451,Martin Rohac,2152,Maximilian Kubik,2696,Tomas Sipos,2603,high,2021/results-relay.pdf
M18,9,OK,POL,Poland,7565,Mateusz Kula,2566,Jakub Jonczy,2615,Stanislaw Pachnik,2384,high,2021/results-relay.pdf
M18,10,OK,SWE,Sweden,7568,Albin Weiden,2403,Edvin Forsberg,2078,Edvin Nilsson,3087,high,2021/results-relay.pdf
M18,11,OK,ESP,Spain,7575,Aimar Urquizu Diego,2849,Galan Gonzalo Ferrando,2346,Gonzalo Zorrilla Olias,2380,high,2021/results-relay.pdf
M18,12,OK,DEN,Denmark,7646,Mathias Buchgreitz,2206,Anders Secher Thomsen,3228,Jonas Damm Als,2212,high,2021/results-relay.pdf
M18,13,OK,ISR,Israel,7655,Peleg Mitzafon,2174,Roy Alpert,2783,Tal Zorea,2698,high,2021/results-relay.pdf
M18,14,OK,BEL,Belgium,7662,Antoine Mattart,2422,Gael Amerijckx,2524,Willem Bakelants,2716,high,2021/results-relay.pdf
M18,15,OK,GER,Germany,7697,Marek Pompe,2799,Konrad Stamer,2367,Anselm Reichenbach,2531,high,2021/results-relay.pdf
M18,16,OK,HUN,Hungary,7702,Levente Szabo,2430,Adam Balint,3179,Peter Gonczi,2093,high,2021/results-relay.pdf
M18,17,OK,SUI,Switzerland,7860,Martin Koehle,2451,Joschi Schmid,3260,Benjamin Wey,2149,high,2021/results-relay.pdf
M18,18,OK,ROU,Romania,8011,Nandor Csis,2423,Adam Voros,3087,Catalin Vadean,2501,high,2021/results-relay.pdf
M18,19,OK,BLR,Belarus,8173,Aliaksandr Furyk,2851,Oleg Tomashau,2325,Fedar Golubev,2997,high,2021/results-relay.pdf
M18,20,OK,FRA,France,8401,Bastien Thenoz,3389,Romain Pichard,2365,Mathias Barros Vallet,2647,high,2021/results-relay.pdf
M18,21,OK,UKR,Ukraine,8650,Ihor Krazhev,2484,Volodymyr Yatsenko,2641,Yurii Skvortsov,3525,high,2021/results-relay.pdf
M18,22,OK,ITA,Italy,8651,Goran Polojaz,2455,Francesco Ognibene,3526,Marco Anselmo Di Stefano,2670,high,2021/results-relay.pdf
M18,23,OK,BUL,Bulgaria,9355,Tervel Dragoev,3358,Stefan Yordanov,3004,Preslav Shterev,2993,high,2021/results-relay.pdf
M18,24,OK,IRL,Ireland,11340,Eoghan Whelan,2737,Liam Cotter,3458,Daniel Earnshaw,5145,high,2021/results-relay.pdf
M18,25,OK,TUR,Turkey,13628,Altar Ilgaz Tuzcuogullari,4848,Halil Ozdemir,4001,Ayberk Keskin,4779,high,2021/results-relay.pdf
W18,1,OK,SWE,Sweden,5706,Elsa Sonesson,1868,Ida Bengtsson,1857,Hanna Jonsell,1981,high,2021/results-relay.pdf
W18,2,OK,FIN,Finland,5724,Emilia Tala,2051,Inari Karppinen,1928,Salla Isoherranen,1745,high,2021/results-relay.pdf
W18,3,OK,RUS,Russia,5825,Anastasiya Kurova,2051,Kseniya Beskhmelnova,2020,Olesia Gladilkina,1754,high,2021/results-relay.pdf
W18,4,OK,HUN,Hungary,6072,Boglarka Czako,1866,Lilla Zempleni,2027,Viktoria Mag,2179,high,2021/results-relay.pdf
W18,5,OK,LAT,Latvia,6073,Leonarda Baltina,1985,Laura Berke,2083,Agnese Jaunmuktane,2005,high,2021/results-relay.pdf
W18,6,OK,CZE,Czech Republic,6115,Ema Bulirova,1991,Anna Marie Smutna,2097,Marketa Mulickova,2027,high,2021/results-relay.pdf
W18,7,OK,SUI,Switzerland,6205,Nina Hubmann,2310,Rosa Bieri,2106,Alina Niggli,1789,high,2021/results-relay.pdf
